,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2013,@ North Carolina,L 8 - 16,8,3,11,34,19,30,14,9,10,27,1,30,"3,600",16,11
1,02/10/2013,@ High Point,W 14 - 4,14,7,21,47,33,44,15,8,10,22,6,300,"3,600",4,10
2,02/16/2013,@ Rutgers,W 11 - 9,11,5,16,48,31,30,11,14,10,24,2,60,"3,600",9,9
3,02/23/2013,"Canisius @ Denver, Colo.",W 10 - 8,10,4,14,47,20,34,16,5,15,21,3,180,"3,600",8,13
4,02/24/2013,Lehigh,W 15 - 10,15,8,23,36,25,33,15,11,16,28,4,210,"3,600",10,14
5,03/02/2013,Marquette,L 6 - 8,6,5,11,37,20,22,19,6,13,16,2,120,"3,600",8,8
6,03/09/2013,@ Bellarmine,L 10 - 11,10,4,14,48,24,21,19,5,11,24,3,120,"3,600",11,7
7,03/16/2013,"Loyola Maryland @ Denver, Colo.",L 7 - 13,7,4,11,36,16,22,16,9,9,24,3,210,"3,600",13,11
8,03/26/2013,@ Denver,L 10 - 11 (1OT),10,5,15,45,22,34,9,8,10,25,2,90,"3,664",11,10
9,03/30/2013,@ Michigan,W 10 - 6,10,4,14,36,21,28,19,5,13,20,2,120,"3,600",6,15
10,04/06/2013,@ Mercer,W 15 - 9,15,14/,29,50,31,29,12,10,16,28,4,180,"3,600",9,11
11,04/13/2013,@ Fairfield,L 8 - 9,8,4,12,31,20,32,15,8,11,20,4,180,"3,600",9,9
12,04/20/2013,Ohio St.,L 9 - 10,9,5,14,30,24,20,6,4,7,22,1,30,"3,600",10,11
13,04/27/2013,Hobart and William Smith,W 16 - 12,16,8,24,37,27,28,13,6,14,32,7,330,"3,600",12,14
