,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/09/2013,@ Delaware,W 9 - 8,9,6,15,30,19,27,10,7,8,21,2,90,"3,600",8,11
1,02/17/2013,@ Mt. St. Mary's,L 11 - 12,11,5,16,39,24,26,9,9,10,25,5,270,"3,600",12,6
2,02/23/2013,Bryant,W 10 - 8,10,7,17,40,24,30,14,17/,7,20,2,90,"3,600",8,9
3,03/02/2013,Navy,W 11 - 2,11,6,17,57,30,39,12,12,9,17,2,90,"3,600",2,5
4,03/09/2013,Massachusetts,W 7 - 4,7,2,9,36,20,28,14,9,6,13,2,90,"3,600",4,14
5,03/12/2013,Drexel,W 17 - 8,17,9,26,46,27,34,9,11,13,29,3,180,"3,600",8,10
6,03/16/2013,@ Lafayette,W 13 - 6,13,9,22,45,25,30,13,7,8,23,5,210,"3,600",6,10
7,03/19/2013,@ Cornell,W 9 - 8,9,6,15,40,19,37,21,6,16,21,2,90,"3,600",8,6
8,03/23/2013,@ Albany (NY),W 18 - 12,18,6,24,41,26,41,20,8,16,33/,5,240,"3,600",12,8
9,03/26/2013,Penn St.,L 3 - 11,3,2,5,26,17,27,17,11,7,17,1,60,"3,600",11,6
10,03/30/2013,Holy Cross,W 16 - 9,16,10,26,52,31,41,12,9,18,28,1,30,"3,600",9,6
11,04/06/2013,@ Army West Point,W 9 - 8,9,4,13,26,16,25,14,6,9,21,4,180,"3,600",8,11
12,04/12/2013,Lehigh,L 7 - 11,7,5,12,34,19,36,20,13,12,21,5,210,"3,600",11,6
13,04/20/2013,@ Colgate,W 13 - 8,13,9,22,35,30,41,16,6,15,23,3,120,"3,600",8,10
14,04/26/2013,"Army West Point @ Bethlehem, Pa.",W 12 - 9,12,10,22,41,24,27,12,14,4,24,2,120,"3,600",9,11
15,04/28/2013,@ Lehigh,L 5 - 11,5,4,9,32,15,25,14,7,9,19,5,270,"3,600",11,9
