,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/09/2013,"

@ Ohio St. 
","
L 8 - 14 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          20
        
      
    
","

      
        
          17
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
","

      
        
          26
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          17
        
      
    
"
1,02/15/2013,"

@ Navy 
","
L 7 - 11 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          29
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          27
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          22
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
2,02/23/2013,"

@ Robert Morris 
","
L 5 - 9 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          28
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          38
        
      
    
","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
"
3,03/02/2013,"

 Quinnipiac 
","
L 10 - 12 
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          18
        
      
    
","

      
        
          32
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          22
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
","

      
        
          26
        
      
    
","

      
        
          6
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
4,03/05/2013,"

@ Bellarmine 
","
L 4 - 10 
","

      
        
          4
        
      
    
","

      
        
          4
        
      
    
","

      
        
          8
        
      
    
","

      
        
          33
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          21
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          18
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
"
5,03/16/2013,"

@ Marist 
","
L 8 - 11 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          26
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          32
        
      
    
","

      
        
          26
        
      
    
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
6,03/23/2013,"

 VMI 
","
W 11 - 6 
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          49
        
      
    
","

      
        
          31
        
      
    
","


          4/
        

","


","

      
        
          36
        
      
    
","

      
        
          14
        
      
    
","


          20/
        

","

      
        
          12
        
      
    
","

      
        
          20
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
"
7,03/30/2013,"

@ Jacksonville 
","
L 8 - 9 (1OT)
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          28
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          23
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,719
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
"
8,04/06/2013,"

 Manhattan 
","
W 14 - 8 
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          30
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          20
        
      
    
","

      
        
          11
        
      
    
","

      
        
          18
        
      
    
","

      
        
          26
        
      
    
","

      
        
          7
        
      
    
","

      
        
          420
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
"
9,04/13/2013,"

@ Siena 
","
L 10 - 13 
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          29
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          20
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          27
        
      
    
","

      
        
          5
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
"
10,04/20/2013,"

@ Marquette 
","
L 9 - 14 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          31
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
","

      
        
          27
        
      
    
","

      
        
          7
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
"
