,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/09/2013,Denver,L 12 - 14,12,8,20,47,30,33,11,4,18,30,6,270,"3,600",14,8
1,02/10/2013,Jacksonville,W 21 - 9,21,13,34,42,28,43,16,12,17,33,6,360/,"3,600",9,12
2,02/16/2013,Notre Dame,L 5 - 13,5,3,8,29,15,34,20/,12,15,22,2,120,"3,600",13,8
3,02/17/2013,Mercer,W 15 - 3,15,10,25,50,33,47,14,5,18,22,4,180,"3,600",3,14
4,02/22/2013,@ Penn,L 9 - 14,9,3,12,35,24,30,10,6,15,26,6,270,"3,600",14,14
5,03/02/2013,Maryland,L 7 - 16,7,3,10,26,16,22,10,6,10,27,5,270,"3,600",16,6
6,03/08/2013,Loyola Maryland,W 9 - 8,9,4,13,33,15,25,12,8,9,21,3,120,"3,600",8,9
7,03/13/2013,@ North Carolina,W 11 - 8,11,6,17,29,19,39,19,3,17,23,7,330,"3,600",8,8
8,03/16/2013,Towson,W 12 - 4,12,7,19,43,26,41,13,9,13,19,6,300,"3,600",4,16
9,03/18/2013,Marist,W 19 - 11,19,14,33,49,30,40,18,9,21,33,3,120,"3,600",11,9
10,03/23/2013,Georgetown,W 19 - 7,19,13,32,46,30,40,12,6,20,30,7,330,"3,600",7,8
11,03/30/2013,@ Harvard,W 12 - 11,12,3,15,33,21,31,14,7,18,26,4,150,"3,600",11,10
12,04/05/2013,High Point,W 17 - 6,17,10,27,57,36,45,13,12,18,26,1,30,"3,600",6,12
13,04/12/2013,Virginia,W 19 - 16,19,14,33,55,35,44,15,10,23,38/,7,240,"3,600",16,8
14,04/20/2013,@ Rutgers,W 16 - 7,16,10,26,55,36,46,18,13,19,26,2,90,"3,600",7,8
15,04/26/2013,@ North Carolina,L 17 - 18,17,8,25,47,29,38,13,4,25/,38/,5,240,"3,600",18,7
16,05/05/2013,@ Marquette,W 19 - 3,19,11,30,37,27,45,18,5,12,25,6,270,"3,600",3,10
17,05/12/2013,Loyola Maryland,W 12 - 11 (2OT),12,6,18,61,34,38,13,6,19,26,8/,360/,"3,980",11,13
18,05/19/2013,"Notre Dame @ Indianapolis, Ind.",W 12 - 11,12,5,17,43,25,31,17,3,16,26,4,150,"3,600",11,2
19,05/25/2013,"Cornell @ Philadelphia, Pa.",W 16 - 14,16,11,27,38,26,42,18,5,19,34,6,210,"3,600",14,16
20,05/27/2013,"Syracuse @ Philadelphia, Pa.",W 16 - 10,16,7,23,46,27,44,11,8,21,30,2,90,"3,600",10,12
