,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/16/2013,Lafayette,L 10 - 11 (1OT),10,9,19,40,26,39,15,12,13,25,7,360,"3,638",11,10
1,02/24/2013,Navy,W 9 - 8 (1OT),9,6,15,33,24,39,16,16/,13,19,4,210,"3,716",8,9
2,03/02/2013,"Dartmouth @ DALLAS, TEXAS",W 10 - 9,10,6,16,33,24,34,10,2,13,22,4,150,"3,600",9,17
3,03/09/2013,@ Harvard,L 6 - 8,6,2,8,31,18,22,14,4,13,17,4,180,"3,600",8,9
4,03/12/2013,@ Mt. St. Mary's,L 6 - 14,6,4,10,19,12,17,20,6,11,23,2,90,"3,600",14,9
5,03/16/2013,Providence,W 16 - 8,16,14,30,36,26,41,21,10,19,27,1,30,"3,600",8,7
6,03/20/2013,Loyola Maryland,L 8 - 13,8,3,11,29,17,28,20,4,16,24,4,150,"3,600",13,8
7,03/23/2013,@ Duke,L 7 - 19,7,6,13,28,15,20,16,4,10,30,2,150,"3,600",19,11
8,03/29/2013,Marquette,W 17 - 12,17,8,25,38,26,45,20,11,23,32,3,240,"3,600",12,8
9,04/03/2013,Villanova,L 6 - 8,6,4,10,26,16,29,20,11,7,17,5,240,"3,600",8,13
10,04/06/2013,"St. John's (NY) @ Bethpage, N.Y.",W 14 - 13 (1OT),14,7,21,41,26,40,10,5,17,31,5,270,"3,636",13,13
11,04/14/2013,@ Notre Dame,L 8 - 10,8,6,14,22,12,26,20,9,9,22,4,120,"3,600",10,10
12,04/20/2013,Syracuse,L 8 - 9,8,3,11,29,18,28,16,8,11,20,4,180,"3,600",9,13
13,04/27/2013,@ Rutgers,W 15 - 7,15,10,25,46,39/,38,14,10,12,25,1,60,"3,600",7,14
14,05/02/2013,@ Villanova,L 12 - 15,12,7,19,26,17,30,18,6,19,30,4,180,"3,600",15,4
