,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/12/2013,Mt. St. Mary's,W 23 - 6,23/,16/,39/,46,31,44,13,5,25/,32,1,60,"3,600",6,8
1,02/16/2013,@ Hartford,W 16 - 4,16,8,24,51,32,38,15,5,14,24,3,120,"3,595",4,12
2,02/23/2013,@ Loyola Maryland,W 12 - 10,12,4,16,36,17,33,13,10,11,25,4,180,"3,600",10,13
3,03/02/2013,@ Duke,W 16 - 7,16,9,25,29,22,28,14,4,17,27,4,180,"3,600",7,9
4,03/10/2013,Stony Brook,W 13 - 7,13,6,19,30,20,45,18,10,20,24,4,150,"3,600",7,7
5,03/16/2013,@ Villanova,W 10 - 7,10,7,17,26,20,23,19,9,9,20,2,150,"3,600",7,11
6,03/23/2013,North Carolina,L 8 - 10,8,5,13,37,23,37,13,10,10,21,2,60,"3,600",10,12
7,03/30/2013,@ Virginia,W 9 - 7,9,6,15,32,18,32,18,7,10,20,3,180,"3,600",7,14
8,04/05/2013,@ Navy,W 11 - 8,11,8,19,40,26,35,11,5,14,22,3,150,"3,600",8,6
9,04/13/2013,Johns Hopkins,L 4 - 7,4,2,6,36,16,29,13,11,7,15,2,90,"3,600",7,12
10,04/20/2013,Yale,W 8 - 7,8,6,14,29,17,24,17,4,6,17,8/,330,"3,600",7,24/
11,04/26/2013,"Virginia @ Chapel Hill, N.C.",L 6 - 13,6,2,8,25,12,27,18,3,12,23,2,90,"3,600",13,10
12,05/04/2013,Colgate,W 18 - 6,18,9,27,37,25,46,16,16,16,28,2,120,"3,600",6,13
13,05/12/2013,Cornell,L 8 - 16,8,3,11,35,20,29,19,10,10,26,3,120,"3,600",16,10
