,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/16/2013,@ Holy Cross,W 11 - 9,11,9,20,39,23,36,14,5,13,23,1,30,"3,600",9,8
1,02/23/2013,Yale,W 10 - 9,10,6,16,23,17,18,14,6,9,22,6,270,"3,600",9,17
2,02/25/2013,Stony Brook,L 7 - 11,7,5,12,34,16,26,13,12,7,21,5,240,"3,600",11,7
3,03/02/2013,@ Siena,W 12 - 11,12,4,16,43,24,34,12,6,14,26,2,120,"3,600",11,14
4,03/09/2013,"Syracuse @ Chester, Pa.",L 11 - 13,11,5,16,32,16,23,10,3,13,26,4,240,"3,600",13,12
5,03/16/2013,Rutgers,W 20 - 13,20/,14,34/,43,30,26,11,5,10,37/,3,120,"3,600",13,21
6,03/19/2013,Hofstra,W 7 - 6,7,4,11,34,17,27,12,2,8,15,2,90,"3,593",6,19
7,03/23/2013,"Robert Morris @ Malvern, Pa.",W 17 - 11,17,11,28,42,24,48/,19,14,19,31,8,630/,"3,600",11,15
8,03/30/2013,@ Notre Dame,W 12 - 10,12,7,19,38,23,34,20,5,13,26,3,150,"3,600",10,13
9,04/06/2013,"Georgetown @ Bethpage, N.Y.",L 13 - 14 (1OT),13,7,20,45,26,33,14,5,14,31,2,120,"3,636",14,12
10,04/13/2013,Villanova,L 11 - 13,11,6,17,39,17,28,15,9,10,27,5,300,"3,598",13,13
11,04/20/2013,@ Providence,W 16 - 13,16,11,27,32,23,23,12,5,13,33,2,120,"3,600",13,11
12,04/27/2013,Marquette,W 15 - 10,15,7,22,41,28,33,11,7,14,28,2,180,"3,600",10,15
