,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/09/2013,@ Navy,L 7 - 20,7,4,11,26,17,23,25,1,13,30,2,90,"3,600",20,17
1,02/16/2013,@ Army West Point,L 8 - 14,8,3,11,18,16,31,27,10,16,25,8,420,"3,600",14,19
2,02/19/2013,@ Virginia,L 4 - 18,4,2,6,25,13,43,32/,4,12,26,5,270,"3,600",18,24/
3,02/23/2013,@ Saint Joseph's,L 3 - 10,3,1,4,24,9,22,18,10,9,17,1,60,"3,600",10,8
4,03/02/2013,@ Lehigh,L 2 - 18,2,1,3,22,13,28,17,8,8,24,2,90,"3,600",18,13
5,03/12/2013,@ Wagner,L 12 - 18,12,6,18,53,23,28,16,3,15,34,3,150,"3,600",18,10
6,03/16/2013,Canisius,L 7 - 10,7,2,9,31,14,26,18,11,8,21,3,90,"3,600",10,13
7,03/23/2013,@ Detroit Mercy,L 6 - 11,6,2,8,24,17,31,29,7,8,20,5,300,"3,600",11,20
8,03/30/2013,@ Marist,L 5 - 23,5,3,8,26,11,26,20,6,8,31,4,150,"3,600",23/,15
9,04/06/2013,Jacksonville,L 8 - 13,8,4,12,36,23,36,22,14,12,25,1,60,"3,600",13,20
10,04/14/2013,Mercer,L 8 - 16,8,5,13,39,22,32,13,6,15,28,6,390,"3,600",16,14
11,04/20/2013,Manhattan,W 10 - 6,10,6,16,26,21,29,24,12,11,19,5,210,"3,600",6,18
12,04/27/2013,@ Siena,L 10 - 16,10,5,15,42,24,30,18,7,12,29,4,150,"3,600",16,7
