,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/16/2013,Drexel,W 13 - 12 (1OT),13,9,22,52,28,44,14,8,14,28,4,180,"3,611",12,15
1,02/19/2013,VMI,W 18 - 4,18,10,28,64/,42/,57,12,17/,14,26,6,240,"3,600",4,9
2,02/23/2013,@ Stony Brook,W 13 - 7,13,8,21,55,32,41,12,7,16,23,4,150,"3,600",7,4
3,02/26/2013,Mt. St. Mary's,W 18 - 11,18,12,30,51,34,47,13,12,18,32,4,180,"3,600",11,7
4,03/01/2013,@ Syracuse,L 8 - 9 (1OT),8,1,9,38,17,33,16,6,16,21,3,120,"3,780",9,7
5,03/05/2013,Vermont,W 12 - 10,12,10,22,42,20,31,6,10,12,26,3,180,"3,600",10,11
6,03/09/2013,Cornell,L 11 - 12,11,6,17,34,18,34,17,12,9,25,2,60,"3,600",12,7
7,03/16/2013,Ohio St.,L 10 - 11,10,6,16,33,16,39,12,11,12,24,2,90,"3,600",11,8
8,03/23/2013,"Johns Hopkins @ Baltimore, MD",L 8 - 15,8,4,12,52,24,32,10,7,14,27,4,210,"3,600",15,13
9,03/30/2013,Maryland,L 7 - 9,7,6,13,41,21,34,13,8,10,20,2,60,"3,600",9,9
10,04/06/2013,North Carolina,L 7 - 10,7,4,11,51,30,41,10,9,15,20,4,180,"3,600",10,12
11,04/12/2013,@ Duke,L 16 - 19,16,9,25,40,24,37,16,5,15,38/,1,60,"3,600",19/,16
12,04/20/2013,Bellarmine,W 12 - 7,12,7,19,41,24,60/,16,8,14,22,1,30,"3,600",7,11
13,04/26/2013,"Maryland @ Chapel Hill, N.C.",W 13 - 6,13,10,23,38,23,32,11,11,11,23,2,120,"3,600",6,6
14,04/28/2013,@ North Carolina,L 13 - 16,13,9,22,46,30,37,14,7,14,32,4,150,"3,600",16,11
