,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/16/2014,@ Syracuse,L 16 - 17 (1OT),16,11,27,48,32,12,36,5,210,"3,628",17,11,20,25,0.800
1,02/22/2014,Drexel,L 13 - 14,13,10,23,49,29,12,31,3,150,"3,600",14,17,19,20,0.950
2,03/01/2014,Harvard,W 14 - 8,14,4,18,40,22,14,24,6,360,"3,600",8,15,17,20,0.850
3,03/08/2014,@ Massachusetts,W 25 - 10,25/,17/,42/,45,32,13,37/,6,300,"3,600",10,22/,19,25,0.760
4,03/15/2014,Bryant,L 11 - 12,11,8,19,42,25,5,27,3,120,"3,600",12,17,20,22,0.909
5,03/22/2014,@ Penn St.,W 17 - 10,17,11,28,36,23,11,31,4,180,"3,600",10,19,20,23,0.870
6,03/25/2014,Canisius,L 10 - 14,10,7,17,33,22,11,28,6,270,"3,600",14,12,16,17,0.941
7,03/29/2014,Vermont,W 20 - 9,20,6,26,50,30,19,33,9,450,"3,600",9,8,17,18,0.944
8,04/04/2014,@ Johns Hopkins,L 8 - 13,8,6,14,27,16,14,24,3,180,"3,600",13,12,17,20,0.850
9,04/06/2014,@ Hartford,W 15 - 11,15,8,23,49,26,16,28,4,210,"3,600",11,13,17,18,0.944
10,04/12/2014,Stony Brook,W 17 - 7,17,15,32,41,29,13,27,4,180,"3,600",7,7,18,18,1.000/
11,04/19/2014,@ UMBC,W 18 - 14,18,15,33,39,29,12,35,9,510/,"3,600",14,20,16,18,0.889
12,04/22/2014,Siena,W 19 - 11,19,8,27,43,31,12,34,1,60,"3,600",11,13,25/,26,0.962
13,04/26/2014,Binghamton,W 21 - 7,21,13,34,50,29,17,32,3,90,"3,600",7,12,14,17,0.824
14,05/01/2014,"Stony Brook @ Stony Brook, N.Y.",W 17 - 16 (1OT),17,7,24,43,30,15,36,4,180,"3,635",16,9,18,19,0.947
15,05/03/2014,"UMBC @ Stony Brook, N.Y.",W 20 - 11,20,10,30,48,27,12,34,3,150,"3,600",11,10,20,23,0.870
16,05/10/2014,@ Loyola Maryland,W 13 - 6,13,8,21,44,24,8,23,2,60,"3,600",6,13,25/,25,1.000/
17,05/17/2014,"Notre Dame @ Hempstead, N.Y.",L 13 - 14 (1OT),13,5,18,32,19,10,31,1,60,"3,691",14,14,12,16,0.750
