,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,Massachusetts,L 5 - 6,5,4,9,27,13,7,13,6,240,"3,600",6,6,10,13,0.769
1,02/16/2014,@ VMI,W 15 - 6,15,11,26,46,27,11,24,2,90,"3,600",6,8,22,27,0.815
2,02/22/2014,"Furman @ Washington, D.C.",W 12 - 2,12,8,20,45,25,10,18,5,270,"3,582",2,6,17,17,1.000/
3,03/01/2014,@ Lafayette,W 8 - 6,8,4,12,43,24,11,17,2,60,"3,600",6,5,11,14,0.786
4,03/04/2014,Rutgers,L 8 - 9 (1OT),8,3,11,40,13,14,21,1,60,"3,795",9,9,13,16,0.812
5,03/08/2014,Holy Cross,W 13 - 3,13,4,17,51,21,7,4,8,19,"3,600",3,12,14,17,0.824
6,03/15/2014,@ Loyola Maryland,L 6 - 7,6,3,9,45,25,9,16,3,150,"3,600",7,16,19,21,0.905
7,03/22/2014,Lehigh,W 6 - 5,6,6,12,36,15,12,15,1,60,"3,600",5,7,12,18,0.667
8,03/29/2014,Bucknell,W 11 - 6,11,5,16,28,17,15,21,3,120,"3,600",6,9,13,15,0.867
9,04/05/2014,@ Boston U.,W 8 - 7,8,5,13,25,14,6,17,6,270,"3,600",7,12,14,17,0.824
10,04/12/2014,Navy,W 14 - 7,14,9,23,40,24,14,25,2,90,"3,600",7,8,16,18,0.889
11,04/18/2014,@ Colgate,W 8 - 7,8,4,12,21,16,8,19,7,270,"3,600",7,8,16,18,0.889
12,04/25/2014,"Lehigh @ Baltimore, Md.",L 11 - 12,11,5,16,34,21,13,25,4,180,"3,600",12,4,10,13,0.769
13,05/03/2014,@ Notre Dame,L 17 - 18,17,7,24,42,27,16,38/,6,270,"3,600",18,9,16,18,0.889
