,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,@ Colgate,L 4 - 7,4,2,6,27,13,7,15,5,210,"3,600",7,11,16,18,0.889
1,02/16/2014,Bucknell,W 12 - 9,12,9,21,31,18,15,24,4,210,"3,600",9,16,14,16,0.875
2,02/22/2014,@ Hartford,W 7 - 5,7,4,11,23,14,25,2,10,16,"3,600",5,17,22,24,0.917
3,03/01/2014,Yale,L 8 - 9,8,4,12,29,18,14,21,6,300,"3,600",9,15,11,16,0.688
4,03/08/2014,Drexel,W 12 - 6,12,8,20,40,25,8,22,4,210,"3,600",6,17,22,24,0.917
5,03/11/2014,@ Monmouth,W 12 - 7,12,6,18,45,26,20,5,20,23,"3,600",7,7,12,15,0.800
6,03/15/2014,@ Albany (NY),W 12 - 11,12,3,15,52,29,22/,27,4,150,"3,600",11,14,17,21,0.810
7,03/22/2014,Hobart and William Smith,W 15 - 8,15,10,25,44,26,22/,27,4,210,"3,600",8,9,14,16,0.875
8,03/25/2014,@ Providence,W 7 - 6,7,5,12,43,20,9,15,3,180,"3,600",6,11,14,19,0.737
9,03/29/2014,"Richmond @ Cold Sprg Harbor, NY",W 9 - 6,9,4,13,37,20,19,19,6,240,"3,600",6,5,16,19,0.842
10,04/02/2014,@ Sacred Heart,W 14 - 5,14,6,20,38,28,17,23,2,120,"3,600",5,11,15,16,0.938
11,04/05/2014,@ Saint Joseph's,L 7 - 9,7,3,10,20,14,13,19,8,420,"3,600",9,14,10,10,1.000/
12,04/12/2014,Mt. St. Mary's,W 9 - 7,9,8,17,31,19,12,18,2,90,"3,600",7,7,14,17,0.824
13,04/19/2014,@ Robert Morris,W 13 - 6,13,8,21,40,23,16,22,5,270,"3,600",6,12,21,23,0.913
14,04/22/2014,@ Brown,L 11 - 13,11,8,19,34,23,16,28,3,180,"3,600",13,8,15,15,1.000/
15,04/26/2014,Wagner,W 15 - 7,15,9,24,53/,27,19,25,8,360,"3,600",7,9,11,13,0.846
16,05/01/2014,"Sacred Heart @ Philadelphia, Pa.",W 12 - 8,12,7,19,30,21,20,22,2,90,"3,600",8,7,15,16,0.938
17,05/03/2014,"Hobart and William Smith @ Philadelphia, Pa.",W 10 - 4,10,8,18,37,20,15,18,3,180,"3,600",4,15,15,16,0.938
18,05/07/2014,Siena,W 9 - 8,9,7,16,38,20,10,20,5,240,"3,600",8,14,15,19,0.789
19,05/11/2014,@ Syracuse,W 10 - 9,10,5,15,27,19,14,23,3,120,"3,600",9,13,11,14,0.786
20,05/17/2014,"Maryland @ Hempstead, New York",L 8 - 16,8,3,11,29,14,10,27,4,150,"3,600",16,8,12,16,0.750
