,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,"

 Delaware 
","
W 6 - 4 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          37
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
"
1,02/16/2014,"

@ Bryant 
","
L 9 - 12 
","

      
        
          9
        
      
    
","

      
        
          2
        
      
    
","

      
        
          11
        
      
    
","

      
        
          43
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
"
2,02/22/2014,"

 Navy 
","
W 9 - 6 
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          41
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
"
3,03/01/2014,"

@ Colgate 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          32
        
      
    
","

      
        
          18
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          18
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
"
4,03/08/2014,"

 Lehigh 
","
L 3 - 9 
","

      
        
          3
        
      
    
","

      
        
          1
        
      
    
","

      
        
          4
        
      
    
","

      
        
          20
        
      
    
","

      
        
          10
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          13
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          16
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
"
5,03/11/2014,"

@ North Carolina 
","
L 4 - 20 
","

      
        
          4
        
      
    
","

      
        
          1
        
      
    
","

      
        
          5
        
      
    
","

      
        
          28
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          19
        
      
    
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          27
        
      
    
","

      
        
          8
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          13
        
      
    
"
6,03/15/2014,"

@ Holy Cross 
","
W 18 - 8 
","

      
        
          18
        
      
    
","

      
        
          11
        
      
    
","

      
        
          29
        
      
    
","

      
        
          49
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          13
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
"
7,03/19/2014,"

 Brown 
","
W 13 - 8 
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          22
        
      
    
","

      
        
          45
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          35
        
      
    
","

      
        
          18
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          13
        
      
    
"
8,03/22/2014,"

 Boston U. 
","
W 7 - 3 
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          36
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","

      
        
          14
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
"
9,03/29/2014,"

@ Army West Point 
","
L 6 - 11 
","

      
        
          6
        
      
    
","

      
        
          1
        
      
    
","

      
        
          7
        
      
    
","

      
        
          35
        
      
    
","

      
        
          15
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
"
