,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/15/2014,@ Boston U.,W 9 - 3,9,5,14,30,23,12,15,4,210,"3,600",3,11,14,18,0.778
1,02/22/2014,"Air Force @ Denver, Colo.",W 7 - 6,7,3,10,28,15,10,16,2,90,"3,600",6,13,12,14,0.857
2,02/23/2014,@ Denver,L 3 - 14,3,1,4,36,13,12,20,2,90,"3,600",14,12,10,10,1.000/
3,03/04/2014,@ Cornell,L 6 - 19,6,6,12,28,16,12,29,4,300,"3,600",19,7,10,13,0.769
4,03/11/2014,Hobart and William Smith,L 10 - 11 (1OT),10,3,13,38,21,16,25,2,60,"3,797",11,10,12,14,0.857
5,03/15/2014,Monmouth,W 5 - 4,5,3,8,32,21,9,13,2,90,"3,600",4,9,12,15,0.800
6,03/23/2014,Detroit Mercy,L 6 - 8,6,4,10,36,23,13,18,2,90,"3,600",8,7,16,19,0.842
7,03/25/2014,@ Albany (NY),W 14 - 10,14,9,23,43,26,17,28,2,120,"3,600",10,12,15,18,0.833
8,03/29/2014,@ Siena,L 7 - 10,7,4,11,33,16,10,3,12,20,"3,600",10,6,12,12,1.000/
9,04/05/2014,Manhattan,W 9 - 4,9,6,15,35,19,12,17,1,60,"3,600",4,10,14,14,1.000/
10,04/12/2014,@ Quinnipiac,W 11 - 10,11,6,17,29,18,10,5,6,25,"3,600",10,14,18,21,0.857
11,04/15/2014,@ Binghamton,L 5 - 9,5,2,7,32,17,10,17,2,60,"3,600",9,14,8,9,0.889
12,04/19/2014,VMI,W 19 - 7,19/,15/,34/,43,28,15,28,3,120,"3,600",7,15,15,17,0.882
13,04/26/2014,@ Marist,L 7 - 13,7,3,10,22,12,11,23,1,60,"3,600",13,8,13,14,0.929
14,05/01/2014,"Siena @ Poughkeepsie, NY",L 11 - 14,11,6,17,36,23,11,29,1,30,"3,600",14,10,16,16,1.000/
