,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,@ Air Force,W 14 - 8,14,11,25,33,21,9,25,3,180,"3,600",8,11,17,20,0.850
1,02/15/2014,@ Duke,L 10 - 14,10,5,15,30,20,11,28,7,360,"3,600",14,13,9,14,0.643
2,02/22/2014,Marist,W 15 - 9,15,6,21,35,22,13,27,4,150,"3,600",9,10,14,16,0.875
3,02/23/2014,Canisius,W 14 - 3,14,8,22,39,26,8,20,4,150,"3,600",3,10,14,15,0.933
4,03/01/2014,@ Penn,L 10 - 12,10,6,16,35,18,14,24,6,270,"3,600",12,8,14,14,1.000/
5,03/08/2014,"Notre Dame @ Costa Mesa, Calif.",W 10 - 7,10,7,17,29,18,6,21,5,240,"3,600",7,17,15,17,0.882
6,03/10/2014,Penn St.,W 15 - 11,15,6,21,34,23,9,30,1,60,"3,600",11,8,19,19,1.000/
7,03/15/2014,Ohio St.,W 9 - 5,9,5,14,26,16,9,17,3,150,"3,600",5,13,16,18,0.889
8,03/22/2014,Rutgers,W 17 - 11,17,6,23,39,25,15,12,14,30,"3,600",11,14,16,19,0.842
9,03/29/2014,@ Georgetown,W 17 - 9,17,9,26,35,21,7,27,1,30,"3,600",9,10,16,20,0.800
10,04/04/2014,@ Villanova,W 9 - 8 (1OT),9,7,16,24,21,10,19,5,210,"3,861",8,12,17,20,0.850
11,04/12/2014,St. John's (NY),W 16 - 9,16,9,25,46,30,13,26,2,60,"3,600",9,13,16,17,0.941
12,04/19/2014,@ Providence,W 14 - 6,14,11,25,44,24,14,22,3,180,"3,600",6,9,13,14,0.929
13,04/26/2014,Marquette,W 17 - 9,17,9,26,38,24,17,28,3,120,"3,600",9,8,13,13,1.000/
14,05/01/2014,"Rutgers @ Villanova, Pa.",W 14 - 7,14,9,23,41,28,16,24,3,120,"3,600",7,13,19,23,0.826
15,05/03/2014,Villanova,W 14 - 7,14,5,19,42,27,17,26,4,180,"3,600",7,8,11,13,0.846
16,05/10/2014,North Carolina,W 9 - 5,9,6,15,38,20,7,16,6,300,"3,600",5,6,13,14,0.929
17,05/18/2014,"Drexel @ Newark, Del.",W 15 - 6,15,12/,27,32,24,16,23,3,150,"3,600",6,11,16,17,0.941
18,05/24/2014,"Duke @ Baltimore, Md.",L 12 - 15,12,3,15,36,19,14,29,3,120,"3,600",15,9,9,10,0.900
