,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/16/2014,@ Richmond,W 19 - 11,19,11,30,45,30,20,33,9,510/,"3,600",11,6,14,15,0.933
1,02/22/2014,Bryant,L 5 - 7,5,1,6,44,22,16,2,90,"3,600",7,7,1/,18,20,0.900
2,03/01/2014,@ Manhattan,W 12 - 7,12,8,20,43,28,20,23,2,120,"3,600",7,10,7,8,0.875
3,03/05/2014,@ Brown,L 7 - 12,7,2,9,45,23,12,23,5,330,"3,600",12,8,12,15,0.800
4,03/08/2014,Siena,L 10 - 11 (4OT),10,6,16,54/,26,12,28,7,390,"4,469/",11,12,22,22,1.000/
5,03/12/2014,Quinnipiac,W 6 - 3,6,3,9,44,18,7,12,4,240,"3,600",3,10,23,26,0.885
6,03/15/2014,@ Sacred Heart,W 12 - 10,12,10,22,46,25,13,27,3,150,"3,600",10,13,16,16,1.000/
7,03/22/2014,@ Massachusetts,L 6 - 12,6,2,8,28,13,7,21,3,120,"3,600",12,14,15,16,0.938
8,03/25/2014,Holy Cross,L 8 - 13,8,5,13,40,21,15,25,2,90,"3,600",13,5,13,15,0.867
9,03/28/2014,Binghamton,L 10 - 11,10,2,12,39,22,16,24,4,210,"3,600",11,6,10,13,0.769
10,04/06/2014,Albany (NY),L 11 - 15,11,5,16,41,24,12,28,4,180,"3,600",15,11,15,20,0.750
11,04/08/2014,Dartmouth,W 12 - 7,12,7,19,36,20,14,22,4,300,"3,600",7,18,17,20,0.850
12,04/12/2014,@ UMBC,L 11 - 16,11,6,17,35,24,17,31,10/,480,"3,600",16,9,10,11,0.909
13,04/19/2014,Vermont,W 11 - 7,11,3,14,34,21,14,21,5,300,"3,600",7,15,16,20,0.800
14,04/25/2014,@ Stony Brook,L 10 - 14,10,6,16,35,18,11,28,2,90,"3,600",14,10,14,16,0.875
