,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/01/2014,@ Furman,W 13 - 6,13,8,21,42,25,14,23,2,90,"3,600",6,6,15,16,0.938
1,02/08/2014,Marquette,W 13 - 6,13,9,22,38,17,18,22,5,300,"3,600",6,9,14,17,0.824
2,02/16/2014,Villanova,W 7 - 6 (3OT),7,3,10,46,19,10,18,12/,420,"4,313/",6,12,36/,36/,1.000/
3,02/22/2014,@ Boston U.,W 10 - 7,10,6,16,35,26,9,21,3,150,"3,600",7,10,16,17,0.941
4,03/01/2014,Loyola Maryland,L 7 - 14,7,5,12,30,20,9,24,6,240,"3,600",14,11,19,20,0.950
5,03/08/2014,@ Bucknell,W 9 - 3,9,7,16,37,24,12,16,2,90,"3,600",3,7,12,15,0.800
6,03/11/2014,@ Yale,L 2 - 10,2,2,4,17,5,9,15,5,270,"3,600",10,10,12,19,0.632
7,03/15/2014,Navy,W 13 - 2,13,10,23,32,21,9,19,3,150,"3,600",2,11,17,18,0.944
8,03/22/2014,@ Army West Point,L 5 - 6,5,2,7,22,12,3,15,5,240,"3,600",6,9,17,18,0.944
9,03/26/2014,Monmouth,W 13 - 7,13,8,21,43,26,17,23,4,240,"3,600",7,6,16,18,0.889
10,03/29/2014,Holy Cross,W 20 - 4,20,17/,37/,51,30,19,27,2,60,"3,600",4,9,18,22,0.818
11,04/05/2014,Colgate,W 11 - 7,11,5,16,35,25,11,22,5,240,"3,600",7,6,18,22,0.818
12,04/08/2014,@ Princeton,L 9 - 10 (2OT),9,4,13,31,19,16,23,3,180,"3,909",10,13,12,14,0.857
13,04/12/2014,"Georgetown @ Folsom, Pa.",W 12 - 3,12,10,22,51,29,6,19,1,30,"3,600",3,8,18,21,0.857
14,04/18/2014,@ Lafayette,W 17 - 6,17,7,24,42,22,12,27,5,240,"3,600",6,11,13,15,0.867
15,04/22/2014,Navy,W 10 - 6,10,3,13,39,23,6,19,3,150,"3,600",6,15,17,18,0.944
16,04/25/2014,"Army West Point @ Baltimore, Md.",W 12 - 11,12,6,18,33,16,12,25,2,120,"3,600",11,10,14,17,0.824
17,04/27/2014,@ Loyola Maryland,L 7 - 16,7,2,9,42,24,15,27,5,300,"3,600",16,14,16,19,0.842
