,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2014,@ Virginia,L 13 - 14 (1OT),13,7,20,41,21,13,28,4,150,"3,702",14,4,12,13,0.923
1,02/15/2014,@ Penn St.,W 12 - 11 (1OT),12,7,19,30,18,12,27,5,210,"3,619",11,12,16,16,1.000/
2,02/19/2014,Towson,W 20 - 4,20,8,28,41,27,14,27,2,90,"3,600",4,9,19,21,0.905
3,02/22/2014,@ Holy Cross,W 16 - 4,16,10,26,50,28,16,24,4,240,"3,600",4,12,12,15,0.800
4,03/01/2014,@ Lehigh,W 14 - 7,14,10,24,33,25,15,24,5,180,"3,600",7,13,18,19,0.947
5,03/09/2014,Duke,W 14 - 7,14,7,21,39,22,10,23,3,180,"3,600",7,9,16,17,0.941
6,03/15/2014,Army West Point,W 7 - 6,7,4,11,35,23,7,16,1,60,"3,600",6,19,23,23,1.000/
7,03/19/2014,@ Georgetown,W 10 - 9,10,7,17,33,21,7,22,1,60,"3,600",9,9,14,16,0.875
8,03/22/2014,Lafayette,W 21 - 4,21/,15,36,56/,33/,18,29,1,30,"3,600",4,7,16,17,0.941
9,03/29/2014,@ Colgate,W 10 - 8,10,6,16,35,22,13,7,9,22,"3,600",8,12,17,18,0.944
10,04/05/2014,@ Navy,W 7 - 6 (2OT),7,5,12,36,21,7,17,3,120,"3,852",6,9,19,20,0.950
11,04/12/2014,Boston U.,W 15 - 6,15,10,25,51,31,17,25,2,120,"3,600",6,11,20,20,1.000/
12,04/17/2014,Bucknell,W 13 - 5,13,9,22,42,27,14,21,3,150,"3,600",5,14,18,24,0.750
13,04/25/2014,Colgate,W 12 - 6,12,7,19,44,22,8,21,8,390,"3,600",6,11,24,26,0.923
14,04/27/2014,Lehigh,W 16 - 7,16,11,27,46,30,12,27,7,300,"3,600",7,17,21,22,0.955
15,05/03/2014,Johns Hopkins,W 13 - 10,13,5,18,47,26,17,26,2,60,"3,600",10,9,22,24,0.917
16,05/10/2014,Albany (NY),L 6 - 13,6,6,41,19,39,15,23,5,240,"3,600",13,11,15,18,0.833
