,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,@ Maryland,L 3 - 16,3,2,5,21,14,10,23,4,180,"3,600",16,14,9,15,0.600
1,02/12/2014,@ Georgetown,L 4 - 10,4,1,5,22,9,7,18,1,60,"3,600",10,20/,15,20,0.750
2,02/22/2014,@ Delaware,L 5 - 15,5,4,9,22,18,7,23,2,120,"3,600",15,13,13,13,1.000/
3,02/25/2014,Virginia,L 6 - 14,6,1,7,24,17,12,23,2,60,"3,600",14,12,15,21,0.714
4,03/01/2014,@ Towson,L 1 - 9,1,1,2,21,11,5,14,3,120,"3,600",9,18,12,15,0.800
5,03/09/2014,@ Manhattan,L 7 - 8,7,4,11,35,19,17,9,11,19,"3,600",8,3,13,16,0.812
6,03/15/2014,Drexel,L 6 - 9,6,4,10,41,16,4,19,4,150,"3,600",9,13,22,24,0.917
7,03/22/2014,UMBC,L 7 - 17,7,1,8,25,15,9,27,6,270,"3,600",17,11,12,16,0.750
8,03/25/2014,Robert Morris,L 8 - 15,8,3,11,33,16,15,25,5,240,"3,600",15,17,14,18,0.778
9,03/29/2014,Hobart and William Smith,L 5 - 8,5,2,7,30,15,13,16,2,90,"3,600",8,7,16,22,0.727
10,04/01/2014,@ Saint Joseph's,L 5 - 10,5,1,6,23,14,7,19,1,60,"3,600",10,14,17,22,0.773
11,04/05/2014,@ Bucknell,L 6 - 16,6,5,11,23,10,12,25,1,60,"3,600",16,13,10,12,0.833
12,04/12/2014,@ Bryant,L 7 - 9,7,5,12,27,14,6,18,4,150,"3,600",9,10,16,18,0.889
13,04/14/2014,Johns Hopkins,L 2 - 17,2,1,3,14,8,5,23,4,210,"3,600",17,19,11,19,0.579
14,04/19/2014,Wagner,W 9 - 5,9,6,15,39,23,14,15,5,300,"3,600",5,15,15,19,0.789
15,04/26/2014,@ Sacred Heart,L 10 - 14,10,2,12,43,25,20,27,2,60,"3,600",14,4,8,11,0.727
