,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/14/2014,"

@ Stony Brook 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          47
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          29
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          8
        
      
    
","

      
        
          28
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
"
1,02/22/2014,"

@ Denver 
","
L 9 - 15 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          14
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
"
2,02/23/2014,"

 Air Force @ Denver, Colo.
","
L 9 - 17 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          31
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","

      
        
          18
        
      
    
","

      
        
          30
        
      
    
","

      
        
          5
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
"
3,03/01/2014,"

 Marquette 
","
W 16 - 12 
","

      
        
          16
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          33
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          31
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          2,700
        
      
    
","

      
        
          12
        
      
    
","

      
        
          14
        
      
    
"
4,03/07/2014,"

 Towson 
","
L 9 - 12 
","

      
        
          9
        
      
    
","

      
        
          2
        
      
    
","

      
        
          11
        
      
    
","

      
        
          31
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          1
        
      
    
","

      
        
          13
        
      
    
","

      
        
          23
        
      
    
","

      
        
          7
        
      
    
","

      
        
          390
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
"
5,03/15/2014,"

@ Siena 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
","

      
        
          35
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          21
        
      
    
","

      
        
          7
        
      
    
","

      
        
          390
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
"
6,03/22/2014,"

 Quinnipiac 
","
W 13 - 8 
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          45
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          16
        
      
    
"
7,03/25/2014,"

 Brown 
","
L 11 - 13 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          46
        
      
    
","

      
        
          27
        
      
    
","


","


","

      
        
          37
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          28
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
"
8,03/29/2014,"

 Manhattan 
","
L 13 - 14 
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          47
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          27
        
      
    
","

      
        
          5
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
"
9,04/05/2014,"

@ Detroit Mercy 
","
L 11 - 12 
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          50
        
      
    
","


          34/
        

","

      
        
          1
        
      
    
","


","


          43/
        

","

      
        
          14
        
      
    
","

      
        
          12
        
      
    
","

      
        
          20
        
      
    
","

      
        
          27
        
      
    
","

      
        
          5
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
"
10,04/08/2014,"

@ Hofstra 
","
L 10 - 15 
","

      
        
          10
        
      
    
","

      
        
          2
        
      
    
","

      
        
          12
        
      
    
","

      
        
          22
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          28
        
      
    
","

      
        
          7
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          14
        
      
    
"
