,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,"

@ Lehigh 
","
L 6 - 13 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          15
        
      
    
","


","

      
        
          1
        
      
    
","

      
        
          18
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          22
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
"
1,02/15/2014,"

@ Hofstra 
","
W 11 - 9 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          30
        
      
    
","

      
        
          18
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
"
2,02/22/2014,"

@ Ohio St. 
","
L 7 - 11 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          29
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          21
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          3
        
      
    
"
3,03/01/2014,"

@ Marist 
","
L 12 - 16 
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          16
        
      
    
","

      
        
          47
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          31
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          2,700
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
"
4,03/08/2014,"

@ Jacksonville 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          16
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
"
5,03/11/2014,"

@ Duke 
","
L 9 - 20 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          29
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          13
        
      
    
","

      
        
          2
        
      
    
","

      
        
          12
        
      
    
","


          33/
        

","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","


          20/
        

","

      
        
          7
        
      
    
"
6,03/15/2014,"

@ Detroit Mercy 
","
W 15 - 10 
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          42
        
      
    
","

      
        
          29
        
      
    
","


          4/
        

","


","

      
        
          32
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          29
        
      
    
","


          8/
        

","

      
        
          450
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
"
7,03/22/2014,"

 Villanova 
","
L 8 - 10 
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          28
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          14
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          5
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
"
8,03/29/2014,"

@ Rutgers 
","
W 14 - 13 
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          24
        
      
    
","

      
        
          33
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          30
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          12
        
      
    
"
9,04/01/2014,"

 Bellarmine 
","
L 7 - 10 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          35
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
"
10,04/06/2014,"

@ St. John's (NY) 
","
W 11 - 10 (2OT)
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          39
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,914
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
"
