,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,Boston U.,W 17 - 6,17/,12/,29/,27,22,9,25,3,120,"3,600",6,10,19,21,0.905
1,02/14/2014,@ Michigan,L 7 - 20,7,6,13,33,20,18,29,5,300,"3,600",20,5,12,17,0.706
2,02/16/2014,@ Detroit Mercy,L 10 - 11,10,5,15,38,26,13,24,6,330,"3,600",11,4,14,18,0.778
3,02/22/2014,Richmond,W 11 - 7,11,7,18,32,20,14,23,4,60,"3,600",7,17,18,18,1.000/
4,03/11/2014,@ UMBC,L 6 - 15,6,5,11,28,17,12,24,5,300,"3,600",15,14,11,13,0.846
5,03/15/2014,VMI,W 8 - 3,8,5,13,34,20,6,15,3,120,"3,600",3,16,20,20,1.000/
6,03/22/2014,@ High Point,W 10 - 9,10,3,13,31,25,10,20,6,270,"3,600",9,14,17,22,0.773
7,03/28/2014,@ Lafayette,W 9 - 8 (1OT),9,3,12,42,19,12,20,5,240,"3,840",8,8,14,15,0.933
8,03/30/2014,@ Wagner,W 16 - 5,16,12/,28,42,28,20,25,4,210,"3,600",5,9,14,20,0.700
9,04/05/2014,@ Air Force,L 6 - 19,6,2,8,24,11,15,28,3,150,"3,600",19,12,12,14,0.857
10,04/12/2014,@ Jacksonville,L 12 - 14,12,5,17,36,18,18,30,4,180,"3,600",14,10,12,12,1.000/
11,04/19/2014,Furman,W 9 - 8,9,4,13,45,23,12,21,4,120,"3,600",8,14,16,16,1.000/
12,04/26/2014,"Bellarmine @ Milton, Ga.",L 6 - 13,6,4,10,36,21,20,10,14,23,"3,600",13,16,14,17,0.824
13,05/01/2014,Richmond,L 6 - 14,6,3,9,25,14,11,22,5,270,"3,600",14,19,11,11,1.000/
