,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,"

@ Penn St. 
","
L 7 - 22 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          35
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          32
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","


          22/
        

","

      
        
          6
        
      
    
"
1,02/14/2014,"

 Mercer 
","
W 20 - 7 
","


          20/
        

","

      
        
          10
        
      
    
","

      
        
          30
        
      
    
","

      
        
          42
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          38
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
","

      
        
          29
        
      
    
","

      
        
          8
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
"
2,02/19/2014,"

@ Detroit Mercy 
","
W 14 - 13 (1OT)
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          20
        
      
    
","

      
        
          52
        
      
    
","

      
        
          26
        
      
    
","


","


","


          43/
        

","

      
        
          20
        
      
    
","

      
        
          13
        
      
    
","


          23/
        

","

      
        
          31
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,673
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
"
3,02/22/2014,"

@ Johns Hopkins 
","
L 5 - 14 
","

      
        
          5
        
      
    
","

      
        
          1
        
      
    
","

      
        
          6
        
      
    
","

      
        
          41
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          14
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
"
4,03/01/2014,"

 Cornell 
","
L 14 - 15 (1OT)
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          40
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          17
        
      
    
","

      
        
          11
        
      
    
","

      
        
          18
        
      
    
","


          33/
        

","

      
        
          5
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,739
        
      
    
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
"
5,03/05/2014,"

@ High Point 
","
L 7 - 9 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          34
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
"
6,03/08/2014,"

@ Furman 
","
W 11 - 9 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          34
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
"
7,03/15/2014,"

@ Bellarmine 
","
W 11 - 10 (1OT)
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          45
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          21
        
      
    
","

      
        
          24
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,766
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
"
8,03/18/2014,"

 Maryland 
","
L 5 - 13 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          31
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          11
        
      
    
"
9,03/22/2014,"

 Saint Joseph's 
","
L 6 - 15 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          32
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


          1/
        

","

      
        
          28
        
      
    
","

      
        
          18
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          8
        
      
    
","

      
        
          480
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          13
        
      
    
"
