,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,VMI,W 18 - 5,18,13,31,50,28,21,27,3,180,"3,600",5,8,11,14,0.786
1,02/15/2014,Georgetown,L 8 - 9 (1OT),8,2,10,46,23,8,20,5,240,"3,712",9,17,19,24,0.792
2,02/22/2014,@ Bucknell,L 6 - 9,6,4,10,29,15,12,18,2,60,"3,600",9,13,15,19,0.789
3,03/01/2014,Holy Cross,W 21 - 12,21/,11,32,52,30,20,37,5,240,"3,600",12,8,16,18,0.889
4,03/07/2014,Lafayette,W 11 - 3,11,6,17,42,26,12,17,8,420,"3,600",3,13,13,16,0.812
5,03/11/2014,@ Towson,L 9 - 14,9,6,15,31,15,17,27,3,150,"3,600",14,7,5,7,0.714
6,03/15/2014,@ Lehigh,L 2 - 13,2,1,3,26,13,10,19,1,30,"3,600",13,8,13,16,0.812
7,03/22/2014,Colgate,L 7 - 10,7,2,9,26,14,10,21,5,210,"3,600",10,9,12,13,0.923
8,03/29/2014,@ Boston U.,W 13 - 7,13,6,19,41,25,12,23,3,90,"3,600",7,5,13,13,1.000/
9,04/05/2014,Loyola Maryland,L 6 - 7 (2OT),6,6,31,15,24,10,17,2,120,"3,852",7,14,13,17,0.765
10,04/12/2014,@ Army West Point,L 7 - 14,7,3,10,26,15,11,25,3,180,"3,600",14,10,14,17,0.824
11,04/18/2014,Johns Hopkins,L 5 - 6,5,4,9,46,22,10,14,7,330,"3,600",6,14,14,14,1.000/
12,04/22/2014,@ Lehigh,L 6 - 10,6,2,8,34,21,13,19,2,120,"3,600",10,13,9,13,0.692
13,05/03/2014,@ Maryland,L 6 - 12,6,3,9,34,16,5,22,3,120,"3,600",12,10,15,16,0.938
