,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/09/2014,"

@ Johns Hopkins 
","
L 9 - 10 (3OT)
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          35
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          30
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","


          4,139/
        

","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
1,02/16/2014,"

 Massachusetts @ Jacksonville, Fla.
","
L 11 - 12 (1OT)
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          34
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          27
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,833
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
"
2,02/22/2014,"

 Marquette 
","
W 11 - 7 
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          26
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          32
        
      
    
","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
3,03/01/2014,"

 Penn St. 
","
L 8 - 11 
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          28
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          20
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          12
        
      
    
"
4,03/08/2014,"

@ Hofstra 
","
L 5 - 7 
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          13
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          450
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
"
5,03/15/2014,"

@ Denver 
","
L 5 - 9 
","

      
        
          5
        
      
    
","

      
        
          5
        
      
    
","

      
        
          10
        
      
    
","

      
        
          29
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          8
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
"
6,03/21/2014,"

 Bellarmine 
","
W 10 - 7 
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          29
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
7,03/25/2014,"

 Notre Dame 
","
L 7 - 13 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          22
        
      
    
","

      
        
          12
        
      
    
","


","


","

      
        
          29
        
      
    
","

      
        
          22
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
"
8,03/29/2014,"

 Jacksonville 
","
W 13 - 2 
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          22
        
      
    
","

      
        
          47
        
      
    
","

      
        
          29
        
      
    
","

      
        
          4
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
","

      
        
          18
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
"
9,04/06/2014,"

@ Delaware 
","
W 15 - 9 
","

      
        
          15
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          39
        
      
    
","

      
        
          27
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          9
        
      
    
"
