,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/21/2014,@ Duke,L 6 - 9,6,4,10,33,17,5,19,4,240,"3,600",9,10,21,25,0.840
1,02/25/2014,Saint Joseph's,W 14 - 4,14,7,21,32,21,15,22,6,270,"3,600",4,9,15,20,0.750
2,03/01/2014,Denver,W 12 - 10,12,6,18,32,20,10,24,4,180,"3,600",10,8,15,15,1.000/
3,03/08/2014,@ Villanova,W 12 - 11,12,9,21,34,23,9,27,4,180,"3,600",11,15,23,24,0.958
4,03/15/2014,@ Princeton,L 12 - 15,12,6,18,45,25,15,31,5,210,"3,600",15,7,14,17,0.824
5,03/22/2014,Cornell,L 9 - 17,9,6,15,29,17,12,30,4,180,"3,600",17,16,12,15,0.800
6,03/29/2014,@ Yale,W 6 - 5,6,3,9,35,17,8,14,2,120,"3,600",5,13,22,25,0.880
7,04/05/2014,Brown,W 10 - 8,10,6,16,37,18,7,22,4,210,"3,600",8,5,20,22,0.909
8,04/12/2014,Harvard,W 8 - 7 (1OT),8,5,13,27,18,5,18,3,150,"3,682",7,13,22,24,0.917
9,04/19/2014,@ Dartmouth,W 9 - 3,9,5,14,37,23,10,16,1,30,"3,600",3,12,24/,25,0.960
10,04/22/2014,@ Towson,W 15 - 9,15,6,21,46,22,17,28,4,240,"3,600",9,14,19,22,0.864
11,04/25/2014,St. John's (NY),W 17 - 10,17,11,28,49,28,23,31,2,90,"3,600",10,12,13,14,0.929
12,05/02/2014,@ Cornell,W 11 - 10,11,5,16,35,18,14,25,5,210,"3,600",10,9,15,19,0.789
13,05/04/2014,@ Harvard,W 7 - 5,7,4,11,29,19,11,15,1,60,"3,600",5,12,17,21,0.810
14,05/11/2014,Drexel,L 11 - 16,11,5,16,47,23,10,31,4,210,"3,600",16,10,16,19,0.842
