,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/22/2014,Hofstra,W 12 - 10,12,10,22,29,22,13,26,2,90,"3,600",10,12,18,22,0.818
1,02/25/2014,@ Manhattan,W 14 - 8,14,10,24,42,33/,14,26,4,180,"3,600",8,10,18,19,0.947
2,03/01/2014,Johns Hopkins,L 9 - 15,9,5,14,37,22,14,28,2,60,"3,600",15,6,16,16,1.000/
3,03/07/2014,North Carolina,L 11 - 13,11,9,20,30,16,14,6,13,28,"3,600",13,12,18,23,0.783
4,03/15/2014,Penn,W 15 - 12,15,8,23,41,22,16,31,8,360,"3,600",12,13,17,22,0.773
5,03/18/2014,@ Villanova,W 14 - 6,14,6,20,42,20,13,23,6,270,"3,600",6,12,20,22,0.909
6,03/22/2014,@ Yale,L 15 - 16,15,7,22,45,25,10,35/,3,120,"3,600",16,10,14,14,1.000/
7,03/29/2014,@ Brown,L 10 - 11,10,5,15,39,26,10,23,2,90,"3,600",11,9,14,17,0.824
8,04/05/2014,Rutgers,W 15 - 11,15,9,24,37,23,10,30,3,150,"3,600",11,14,10,12,0.833
9,04/08/2014,Lehigh,W 10 - 9 (2OT),10,7,17,52,23,7,23,6,360,"3,909",9,10,18,19,0.947
10,04/12/2014,Dartmouth,W 13 - 10,13,9,22,51,24,17,27,4,150,"3,600",10,9,19,19,1.000/
11,04/19/2014,@ Harvard,L 8 - 9,8,4,12,37,18,9,22,3,150,"3,600",9,13,14,16,0.875
12,04/26/2014,"Cornell @ Bethpage, N.Y.",L 10 - 12,10,8,18,36,26,14,26,1,30,"3,600",12,13,22,25,0.880
