,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/15/2014,@ Bellarmine,L 7 - 10,7,4,11,34,25,15,21,6,270,"3,600",10,15,17,20,0.850
1,02/23/2014,Detroit Mercy,W 11 - 7,11,9,20,37,29,8,22,3,150,"3,600",7,11,22,25,0.880
2,03/01/2014,@ Drexel,L 12 - 18,12,3,15,46,25,14,33,2,60,"3,600",18,4,15,20,0.750
3,03/09/2014,Saint Joseph's,L 8 - 11,8,4,12,25,18,9,23,4,180,"3,600",11,7,18,22,0.818
4,03/12/2014,@ Siena,W 10 - 9 (1OT),10,6,16,39,20,5,23,2,60,"3,614",9,11,16,19,0.842
5,03/15/2014,@ Hobart and William Smith,L 6 - 8,6,2,8,33,18,19,1,30,"3,600",8,10,1/,17,19,0.895
6,03/22/2014,Jacksonville,W 13 - 9,13,9,22,42,23,12,26,8,420,"3,600",9,8,17,20,0.850
7,03/25/2014,@ Mt. St. Mary's,W 15 - 8,15,6,21,46,32,10,25,3,180,"3,600",8,8,21,24,0.875
8,03/29/2014,Sacred Heart,L 7 - 9,7,3,10,46,21,10,20,4,240,"3,600",9,16,26/,28/,0.929
9,04/02/2014,@ Maryland,L 6 - 19,6,5,11,33,19,7,28,3,120,"3,600",19,9,15,17,0.882
10,04/05/2014,@ Wagner,W 12 - 7,12,7,19,43,32,11,22,7,330,"3,600",7,11,16,18,0.889
11,04/12/2014,@ Notre Dame,L 5 - 15,5,4,9,19,10,6,25,2,90,"3,600",15,17,12,21,0.571
12,04/19/2014,Bryant,L 6 - 13,6,4,10,33,18,6,22,3,150,"3,600",13,10,21,26,0.808
13,04/26/2014,@ Michigan,L 10 - 19,10,10,33,20,31,12,32,4,210,"3,600",19,14,15,18,0.833
