,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,Manhattan,W 13 - 5,13,9,22,38,28,18,21,5,240,"3,600",5,12,14,15,0.933
1,02/18/2014,@ Wagner,W 20 - 5,20/,12/,32/,46,29,22/,29,6,300,"3,600",5,16,18,20,0.900
2,02/22/2014,@ Virginia,L 12 - 19,12,8,20,31,23,16,33/,2,60,"3,600",19,21/,15,22,0.682
3,03/01/2014,@ Stony Brook,L 9 - 12,9,4,13,35,17,9,25,2,90,"3,600",12,9,15,17,0.882
4,03/04/2014,@ Army West Point,W 9 - 8 (1OT),9,5,14,28,18,10,4,7,21,"3,795",8,5,15,16,0.938
5,03/08/2014,Monmouth,W 20 - 4,20/,10,30,55,37/,20,27,3,180,"3,600",4,7,17,18,0.944
6,03/15/2014,@ Providence,W 12 - 6,12,9,21,43,27,18,22,4,210,"3,600",6,15,16,20,0.800
7,03/17/2014,Richmond,W 10 - 7,10,8,18,46,23,19,19,5,240,"3,600",7,15,21,21,1.000/
8,03/22/2014,@ Denver,L 11 - 17,11,5,16,32,25,16,30,3,150,"3,600",17,8,15,15,1.000/
9,03/29/2014,Marquette,L 13 - 14,13,10,23,41,25,18,30,3,240,"3,600",14,10,11,12,0.917
10,04/02/2014,St. John's (NY),W 16 - 13,16,6,22,54,30,19,33/,5,270,"3,600",13,7,11,14,0.786
11,04/05/2014,@ Princeton,L 11 - 15,11,6,17,39,25,20,30,4,210,"3,600",15,8,12,12,1.000/
12,04/12/2014,Villanova,L 11 - 15,11,8,19,35,19,17,29,4,150,"3,600",15,11,14,15,0.933
13,04/19/2014,@ Duke,L 8 - 17,8,6,14,30,15,15,29,5,270,"3,560",17,11,18,22,0.818
14,04/26/2014,@ Georgetown,W 12 - 8,12,8,20,29,23,4,24,3,150,"3,600",8,15,18,23,0.783
15,05/01/2014,"Denver @ Villanova, Pa.",L 7 - 14,7,5,12,36,20,8,24,7,360,"3,600",14,14,14,16,0.875
