,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2014,"

@ Navy 
","
L 5 - 18 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          23
        
      
    
","

      
        
          13
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          21
        
      
    
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          27
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          18
        
      
    
","

      
        
          10
        
      
    
"
1,02/16/2014,"

 Army West Point 
","
L 6 - 15 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          29
        
      
    
","

      
        
          27
        
      
    
","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
"
2,02/22/2014,"

@ Saint Joseph's 
","
L 6 - 14 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          21
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          21
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
"
3,03/01/2014,"

 Detroit Mercy 
","
L 6 - 8 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          38
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          17
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          16
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
"
4,03/02/2014,"

 Air Force 
","
W 6 - 4 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          23
        
      
    
","

      
        
          13
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          20
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
"
5,03/05/2014,"

 Vermont 
","
L 7 - 18 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          35
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          15
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
","

      
        
          29
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          18
        
      
    
","

      
        
          13
        
      
    
"
6,03/08/2014,"

@ High Point 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
","

      
        
          22
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          22
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
","

      
        
          20
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
"
7,03/15/2014,"

@ Mercer 
","
L 3 - 8 
","

      
        
          3
        
      
    
","

      
        
          3
        
      
    
","

      
        
          6
        
      
    
","

      
        
          30
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          12
        
      
    
"
8,03/18/2014,"

 Wagner 
","
L 6 - 7 
","

      
        
          6
        
      
    
","

      
        
          1
        
      
    
","

      
        
          7
        
      
    
","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","

      
        
          3
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
"
9,03/24/2014,"

@ Virginia 
","
L 3 - 21 
","

      
        
          3
        
      
    
","

      
        
          1
        
      
    
","

      
        
          4
        
      
    
","

      
        
          24
        
      
    
","

      
        
          10
        
      
    
","


","


","

      
        
          29
        
      
    
","


          30/
        

","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          28
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","


          21/
        

","

      
        
          11
        
      
    
"
