,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/18/2014,"

 Rutgers 
","
L 5 - 20 
","

      
        
          5
        
      
    
","

      
        
          3
        
      
    
","

      
        
          8
        
      
    
","

      
        
          40
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          16
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          29
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          9
        
      
    
"
1,02/26/2014,"

 Monmouth 
","
W 7 - 6 (4OT)
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          34
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          40
        
      
    
","

      
        
          23
        
      
    
","

      
        
          13
        
      
    
","

      
        
          17
        
      
    
","

      
        
          20
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","


          4,560/
        

","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
"
2,03/01/2014,"

 Saint Joseph's 
","
L 8 - 12 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          18
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          22
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
"
3,03/08/2014,"

 Detroit Mercy 
","
L 8 - 9 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          45
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
","

      
        
          12
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
"
4,03/15/2014,"

 Vermont 
","
L 10 - 11 (2OT)
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          42
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          23
        
      
    
","


          16/
        

","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          6
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,975
        
      
    
","

      
        
          11
        
      
    
","

      
        
          18
        
      
    
"
5,03/18/2014,"

@ VMI 
","
W 7 - 6 
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          33
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
"
6,03/21/2014,"

@ Richmond 
","
L 7 - 14 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          19
        
      
    
","

      
        
          12
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          37
        
      
    
","


          26/
        

","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          25
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
"
7,03/30/2014,"

 Mercer 
","
L 5 - 16 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          24
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          17
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          12
        
      
    
"
8,04/05/2014,"

 Robert Morris 
","
L 7 - 12 
","

      
        
          7
        
      
    
","

      
        
          2
        
      
    
","

      
        
          9
        
      
    
","

      
        
          30
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          18
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","


          20/
        

"
9,04/11/2014,"

 Hobart and William Smith 
","
L 6 - 15 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          26
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


          1/
        

","

      
        
          23
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          7
        
      
    
","

      
        
          390
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          13
        
      
    
"
