,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/22/2014,"

 St. John's (NY) 
","
W 10 - 6 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          35
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          19
        
      
    
","

      
        
          12
        
      
    
","

      
        
          13
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
"
1,03/01/2014,"

@ Bryant 
","
W 9 - 8 
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","


          55/
        

","

      
        
          24
        
      
    
","


","

      
        
          1
        
      
    
","

      
        
          35
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
"
2,03/08/2014,"

@ Fairfield 
","
L 11 - 12 (1OT)
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          41
        
      
    
","

      
        
          20
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,754
        
      
    
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
"
3,03/11/2014,"

 Lehigh 
","
W 10 - 2 
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          18
        
      
    
","

      
        
          39
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          3
        
      
    
"
4,03/15/2014,"

@ Cornell 
","
L 9 - 11 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          34
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
","

      
        
          23
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          12
        
      
    
"
5,03/22/2014,"

 Princeton 
","
W 16 - 15 
","

      
        
          16
        
      
    
","

      
        
          12
        
      
    
","

      
        
          28
        
      
    
","

      
        
          32
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          12
        
      
    
","

      
        
          2
        
      
    
","


          25/
        

","


          35/
        

","

      
        
          7
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          10
        
      
    
"
6,03/29/2014,"

 Penn 
","
L 5 - 6 
","

      
        
          5
        
      
    
","

      
        
          3
        
      
    
","

      
        
          8
        
      
    
","

      
        
          32
        
      
    
","

      
        
          18
        
      
    
","


","


","

      
        
          26
        
      
    
","


          23/
        

","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
"
7,04/01/2014,"

@ Providence 
","
W 8 - 5 
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
","

      
        
          16
        
      
    
","

      
        
          28
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          19
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
"
8,04/05/2014,"

@ Dartmouth 
","
W 16 - 10 
","

      
        
          16
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          38
        
      
    
","

      
        
          24
        
      
    
","


          5/
        

","


","

      
        
          39
        
      
    
","

      
        
          20
        
      
    
","

      
        
          7
        
      
    
","

      
        
          22
        
      
    
","

      
        
          29
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
"
9,04/11/2014,"

@ Brown 
","
W 7 - 6 (1OT)
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          33
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,671
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
"
10,04/19/2014,"

@ Michigan 
","
W 13 - 7 
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          22
        
      
    
","

      
        
          32
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          17
        
      
    
","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          24
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
"
11,04/22/2014,"

 Quinnipiac 
","
W 14 - 11 
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          45
        
      
    
","

      
        
          27
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          29
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          3
        
      
    
"
12,04/26/2014,"

 Harvard 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          43
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          7
        
      
    
","

      
        
          390
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
"
13,05/02/2014,"

@ Harvard 
","
L 9 - 10 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          31
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          19
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
"
