,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,Ohio St.,W 9 - 8,9,6,15,30,22,4,21,6,330,"3,600",8,14,19,21,0.905
1,02/14/2015,@ Michigan,L 6 - 15,6,4,10,28,16,10,25,1,30,"3,600",15,18,13,19,0.684
2,02/21/2015,Robert Morris,W 11 - 10 (1OT),11,8,19,32,20,10,24,4,210,"3,715",10,16,15,18,0.833
3,02/27/2015,"Marquette @ Louisville, KY",L 6 - 12,6,2,8,20,13,7,21,4,210,"3,600",12,19,18,20,0.900
4,03/01/2015,@ Bellarmine,W 14 - 11,14,9,23,43,27,14,29,6,270,"3,600",11,15,21,21,1.000/
5,03/04/2015,Mercer,W 12 - 7,12,4,16,37,28,9,23,2,60,"3,600",7,28/,17,19,0.895
6,03/14/2015,@ Air Force,L 6 - 9,6,4,10,23,12,14,4,9,19,"3,600",9,7,13,14,0.929
7,03/21/2015,@ Quinnipiac,L 12 - 13,12,4,16,28,23,12,28,10/,570/,"3,600",13,17,11,13,0.846
8,03/28/2015,Manhattan,W 13 - 7,13,7,20,58/,22,12,22,6,240,"3,600",7,18,19,21,0.905
9,04/04/2015,@ Marist,L 7 - 8,7,3,10,33,18,9,19,3,90,"3,600",8,13,14,17,0.824
10,04/11/2015,Monmouth,W 9 - 8,9,3,12,37,24,14,21,3,150,"3,600",8,8,13,15,0.867
11,04/18/2015,@ Siena,W 14 - 13,14,9,23,41,31,15,29,3,120,"3,600",13,10,17,19,0.895
12,04/25/2015,Canisius,W 11 - 6,11,7,18,40,26,13,21,5,270,"3,600",6,18,16,17,0.941
13,04/30/2015,"Quinnipiac @ Poughkeepsie, N.Y.",L 9 - 16,9,3,12,36,22,10,29,3,150,"3,600",16,11,20,22,0.909
