,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/21/2015,"

@ Ohio St. 
","
L 5 - 15 
","

      
        
          5
        
      
    
","

      
        
          1
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          11
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
"
1,02/28/2015,"

@ Notre Dame 
","
L 5 - 20 
","

      
        
          5
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          12
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          19
        
      
    
","

      
        
          7
        
      
    
","

      
        
          8
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
"
2,03/04/2015,"

 Sacred Heart 
","
L 9 - 10 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          29
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
"
3,03/07/2015,"

@ Wagner 
","
W 11 - 10 
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          29
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          21
        
      
    
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","

      
        
          7
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
"
4,03/21/2015,"

 Harvard 
","
W 12 - 11 (2OT)
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          44
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          39
        
      
    
","

      
        
          22
        
      
    
","

      
        
          12
        
      
    
","

      
        
          22
        
      
    
","

      
        
          27
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          4,059
        
      
    
","

      
        
          11
        
      
    
","

      
        
          12
        
      
    
"
5,03/24/2015,"

 Vermont 
","
W 16 - 15 
","

      
        
          16
        
      
    
","

      
        
          10
        
      
    
","

      
        
          26
        
      
    
","

      
        
          50
        
      
    
","

      
        
          34
        
      
    
","


","


","

      
        
          37
        
      
    
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          20
        
      
    
","

      
        
          35
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
"
6,03/28/2015,"

@ Cornell 
","
L 2 - 8 
","

      
        
          2
        
      
    
","

      
        
          2
        
      
    
","

      
        
          4
        
      
    
","

      
        
          26
        
      
    
","

      
        
          12
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          23
        
      
    
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
"
7,04/04/2015,"

@ Yale 
","
L 4 - 10 
","

      
        
          4
        
      
    
","

      
        
          3
        
      
    
","

      
        
          7
        
      
    
","

      
        
          28
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
"
8,04/11/2015,"

 Princeton 
","
L 5 - 16 
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          29
        
      
    
","

      
        
          13
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          21
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
"
9,04/14/2015,"

@ NJIT 
","
W 7 - 5 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
"
