,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/01/2015,@ High Point,L 10 - 15,10,8,18,39,23,10,28,7,330,"3,600",15,11,12,15,0.800
1,02/07/2015,Bucknell,W 12 - 11,12,8,20,28,19,13,25,2,120,"3,600",11,9,9,10,0.900
2,02/15/2015,@ Ohio St.,L 3 - 10,3,3,24,14,17,5,16,2,90,"3,600",10,12,15,15,1.000/
3,02/24/2015,@ Mt. St. Mary's,W 11 - 10,11,7,18,21,15,15,24,5,180,"3,600",10,10,8,12,0.667
4,02/28/2015,@ Villanova,L 4 - 10,4,4,24,11,22,7,18,2,90,"3,600",10,17,15,20,0.750
5,03/03/2015,Holy Cross,W 18 - 6,18/,13/,31/,38,26,13,7,17,27,"3,600",6,7,13,18,0.722
6,03/08/2015,Binghamton,L 7 - 11,7,4,11,37,21,13,22,1,60,"3,600",11,8,15,16,0.938
7,03/14/2015,Rutgers,L 12 - 17,12,5,17,48,22,13,31,2,90,"3,600",17,8,9,12,0.750
8,03/18/2015,Manhattan,W 12 - 5,12,8,20,41,24,12,21,9,480,"3,600",5,10,13,13,1.000/
9,03/21/2015,Saint Joseph's,L 6 - 14,6,4,10,22,10,7,24,1,30,"3,600",14,10,17,19,0.895
10,03/28/2015,Hofstra,L 5 - 9,5,1,6,16,12,2,17,9,390,"3,600",9,14,11,16,0.688
11,04/04/2015,Towson,L 7 - 12,7,5,12,38,21,13,23,3,150,"3,600",12,8,11,12,0.917
12,04/11/2015,@ Drexel,L 8 - 9 (1OT),8,2,10,35,22,11,21,3,180,"3,717",9,15,14,15,0.933
13,04/18/2015,@ Fairfield,L 11 - 12 (2OT),11,7,18,32,21,8,27,4,180,"3,900",12,16,16,21,0.762
14,04/24/2015,@ Massachusetts,W 10 - 9,10,3,13,35,18,14,22,5,270,"3,600",9,18/,9,12,0.750
