,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/14/2015,@ Virginia,L 10 - 14,10,5,15,42,22,17,28,1,60,"3,600",14,11,12,17,0.706
1,02/21/2015,Albany (NY),L 8 - 15,8,4,12,48,24,12,26,12/,840/,"3,600",15,10,16,18,0.889
2,02/24/2015,Villanova,L 11 - 14,11,9,20,44,23,21/,28,3,120,"3,600",14,8,15,17,0.882
3,02/28/2015,@ Maryland,L 3 - 12,3,2,5,26,15,11,19,4,180,"3,600",12,8,15,17,0.882
4,03/03/2015,Saint Joseph's,W 11 - 7,11,6,17,40,20,15,22,8,420,"3,600",7,5,10,16,0.625
5,03/07/2015,Bryant,W 11 - 8,11,6,17,33,20,11,23,2,90,"3,584",8,9,15,16,0.938
6,03/14/2015,@ St. John's (NY),L 9 - 10,9,6,15,42,20,12,23,3,120,"3,600",10,9,20,22,0.909
7,03/21/2015,@ Michigan,W 9 - 7,9,1,10,41,22,10,20,2,60,"3,600",7,11,13,14,0.929
8,03/24/2015,Binghamton,W 9 - 5,9,6,15,45,22,10,18,4,180,"3,600",5,7,18,18,1.000/
9,03/28/2015,Fairfield,L 4 - 7,4,2,6,35,20,10,15,2,90,"3,600",7,3,17,20,0.850
10,04/04/2015,@ Hofstra,W 8 - 7,8,4,12,29,13,6,17,5,240,"3,600",7,16,19,20,0.950
11,04/11/2015,Delaware,W 9 - 8 (1OT),9,6,15,46,24,10,21,6,240,"3,717",8,14,17,18,0.944
12,04/18/2015,@ Massachusetts,L 9 - 12,9,7,16,36,23,15,24,2,90,"3,600",12,10,8,9,0.889
13,04/25/2015,Towson,W 11 - 10,11,2,13,35,22,9,24,4,180,"3,600",10,12,10,12,0.833
14,04/30/2015,"Towson @ Fairfield, Conn.",L 8 - 11,8,6,14,35,16,8,20,6,300,"3,600",11,9,12,14,0.857
