,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,"

@ High Point 
","
W 16 - 13 
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          47
        
      
    
","

      
        
          34
        
      
    
","


","


","

      
        
          38
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          20
        
      
    
","

      
        
          33
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
"
1,02/08/2015,"

 Air Force 
","
W 13 - 7 
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          41
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          18
        
      
    
","

      
        
          11
        
      
    
","

      
        
          14
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
"
2,02/14/2015,"

 Denver @ Kennesaw, Ga.
","
L 13 - 17 
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          40
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          19
        
      
    
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          34
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          12
        
      
    
"
3,02/15/2015,"

@ Mercer 
","
W 16 - 6 
","

      
        
          16
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          51
        
      
    
","


          38/
        

","


","


","

      
        
          30
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","


          22/
        

"
4,02/28/2015,"

 Harvard 
","
W 21 - 14 
","

      
        
          21
        
      
    
","

      
        
          10
        
      
    
","

      
        
          31
        
      
    
","


          58/
        

","

      
        
          35
        
      
    
","

      
        
          4
        
      
    
","

      
        
          1
        
      
    
","


          55/
        

","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          27
        
      
    
","


          39/
        

","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
"
5,03/01/2015,"

 Providence 
","
W 20 - 8 
","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          32
        
      
    
","

      
        
          52
        
      
    
","

      
        
          36
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          42
        
      
    
","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          31
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
"
6,03/07/2015,"

 Loyola Maryland 
","
W 14 - 8 
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          23
        
      
    
","

      
        
          48
        
      
    
","

      
        
          29
        
      
    
","


","


","

      
        
          35
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          9
        
      
    
"
7,03/14/2015,"

@ Georgetown 
","
W 15 - 13 
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          49
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          12
        
      
    
","

      
        
          3
        
      
    
","

      
        
          21
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
"
8,03/22/2015,"

@ Syracuse 
","
L 7 - 19 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          35
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          39
        
      
    
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          12
        
      
    
","

      
        
          29
        
      
    
","

      
        
          7
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","


          19/
        

","

      
        
          5
        
      
    
"
9,03/29/2015,"

@ North Carolina 
","
L 14 - 15 
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          24
        
      
    
","

      
        
          43
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          44
        
      
    
","

      
        
          17
        
      
    
","

      
        
          7
        
      
    
","

      
        
          11
        
      
    
","

      
        
          33
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          13
        
      
    
"
