,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/14/2015,"

@ Notre Dame 
","
L 12 - 14 
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          35
        
      
    
","

      
        
          20
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          19
        
      
    
","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          12
        
      
    
"
1,02/22/2015,"

 Towson 
","
L 6 - 9 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          40
        
      
    
","

      
        
          16
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          18
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
"
2,02/28/2015,"

 Hofstra 
","
W 13 - 11 
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          46
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          43
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          28
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          17
        
      
    
"
3,03/04/2015,"

@ Mt. St. Mary's 
","
W 11 - 5 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          30
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
","

      
        
          20
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
"
4,03/07/2015,"

 Hobart and William Smith 
","
W 15 - 10 
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          51
        
      
    
","

      
        
          33
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          16
        
      
    
","

      
        
          28
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
"
5,03/10/2015,"

 Vermont 
","
W 18 - 10 
","

      
        
          18
        
      
    
","

      
        
          9
        
      
    
","

      
        
          27
        
      
    
","


          58/
        

","

      
        
          39
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          41
        
      
    
","

      
        
          12
        
      
    
","


          16/
        

","

      
        
          21
        
      
    
","

      
        
          33
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          15
        
      
    
"
6,03/14/2015,"

 Duke 
","
L 13 - 15 
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          39
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          29
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          11
        
      
    
"
7,03/18/2015,"

@ Loyola Maryland 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          46
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          29
        
      
    
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
","

      
        
          15
        
      
    
","

      
        
          28
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,592
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
8,03/21/2015,"

 Marquette 
","
W 10 - 9 
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          37
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
"
9,03/28/2015,"

@ Denver 
","
L 7 - 19 
","

      
        
          7
        
      
    
","

      
        
          1
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          30
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          19
        
      
    
","


          23/
        

"
10,04/04/2015,"

@ Providence 
","
W 9 - 6 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          39
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
"
11,04/11/2015,"

 Villanova 
","
W 17 - 8 
","

      
        
          17
        
      
    
","

      
        
          11
        
      
    
","

      
        
          28
        
      
    
","

      
        
          39
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          28
        
      
    
","

      
        
          4
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          20
        
      
    
"
