,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/14/2015,"

@ Fairfield 
","
W 10 - 9 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          32
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
"
1,02/21/2015,"

@ Loyola Maryland 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          29
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          8
        
      
    
","

      
        
          28
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          13
        
      
    
"
2,02/28/2015,"

 Navy 
","
L 6 - 7 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          29
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          11
        
      
    
"
3,03/03/2015,"

@ Delaware 
","
L 6 - 18 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
"
4,03/07/2015,"

 Army West Point 
","
W 7 - 6 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          24
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          18
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
"
5,03/09/2015,"

 Harvard 
","
L 9 - 20 
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          26
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          20
        
      
    
","

      
        
          31
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","


          20/
        

","

      
        
          11
        
      
    
"
6,03/14/2015,"

@ Bucknell 
","
L 6 - 15 
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          29
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          5
        
      
    
"
7,03/17/2015,"

 Hartford 
","
W 11 - 2 
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          26
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          19
        
      
    
","

      
        
          8
        
      
    
","

      
        
          12
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
"
8,03/21/2015,"

 St. John's (NY) 
","
W 13 - 11 
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          41
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          5
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          26
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          12
        
      
    
"
9,03/28/2015,"

 Lehigh 
","
L 7 - 19 
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          26
        
      
    
","

      
        
          19
        
      
    
","


","


          1/
        

","

      
        
          16
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          29
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          19
        
      
    
","

      
        
          8
        
      
    
"
