,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/21/2015,Massachusetts,W 14 - 13,14,9,23,37,26,16,30,4,150,"3,600",13,11,10,13,0.769
1,02/28/2015,@ Duke,L 14 - 21,14,9,23,42,24,12,39,9/,450,"3,600",21/,14,14,16,0.875
2,03/03/2015,Quinnipiac,W 17 - 12,17,12,29,44,33,20,33,5,330,"3,600",12,13,9,10,0.900
3,03/07/2015,Penn St.,W 12 - 9,12,4,16,46,30,12,23,4,180,"3,600",9,12,17,18,0.944
4,03/09/2015,@ Holy Cross,W 20 - 9,20,17/,37,44,31,11,31,9/,450,"3,600",9,8,17,20,0.850
5,03/14/2015,@ Brown,L 9 - 14,9,5,14,31,18,10,27,3,180,"3,600",14,17,20,25,0.800
6,03/17/2015,@ North Carolina,L 10 - 15,10,6,16,48,31,14,27,6,300,"3,600",15,10,17,21,0.810
7,03/21/2015,@ Dartmouth,L 11 - 12 (2OT),11,3,14,39,23,5,27,4,210,"4,059",12,12,21,24,0.875
8,03/25/2015,Albany (NY),L 18 - 21,18,6,24,39,32,18,42/,8,360,"3,600",21/,23/,17,24,0.708
9,04/04/2015,Cornell,W 10 - 9,10,5,15,30,18,6,23,4,150,"3,600",9,13,17,24,0.708
10,04/07/2015,@ Boston U.,W 9 - 8,9,4,13,33,24,5,21,3,150,"3,600",8,18,16,17,0.941
11,04/11/2015,Penn,L 9 - 10,9,6,15,42,20,10,20,1,60,"3,600",10,13,17,19,0.895
12,04/17/2015,@ Princeton,L 11 - 12,11,5,16,41,26,16,26,6,300,"3,600",12,8,12,12,1.000/
13,04/25/2015,Yale,W 8 - 7,8,3,11,29,19,10,19,2,90,"3,600",7,13,15,19,0.789
