,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/13/2015,@ Wagner,W 10 - 5,10,5,15,25,17,12,18,3,120,"3,600",5,10,15,16,0.938
1,02/21/2015,@ Colgate,L 10 - 12,10,7,17,31,20,8,25,4,180,"3,600",12,18/,18,24,0.750
2,02/28/2015,@ Army West Point,L 3 - 14,3,1,4,22,14,6,20,4,210,"3,600",14,13,16,23,0.696
3,03/03/2015,Penn,L 6 - 9,6,3,9,29,16,4,18,5,240,"3,600",9,12,17,22,0.773
4,03/10/2015,Navy,L 4 - 18,4,2,6,15,11,8,25,7,300,"3,600",18,11,13,19,0.684
5,03/14/2015,@ Boston U.,L 8 - 17,8,6,14,26,14,10,28,1,30,"3,600",17,12,13,18,0.722
6,03/17/2015,@ Sacred Heart,L 11 - 14,11,4,15,47,24,5,27,3,90,"3,600",14,6,18,20,0.900
7,03/21/2015,Loyola Maryland,L 10 - 19,10,6,16,32,22,9,32,5,180,"3,600",19,14,16,17,0.941
8,03/27/2015,@ UMBC,L 7 - 18,7,2,9,43,24,11,28,4,210,"3,600",18,11,16,20,0.800
9,03/31/2015,Monmouth,W 8 - 7,8,4,12,42,24,9,18,3,150,"3,600",7,11,18,21,0.857
10,04/04/2015,Holy Cross,W 11 - 7,11,5,16,44,21,6,21,1,30,"3,600",7,7,18,21,0.857
11,04/07/2015,NJIT,W 16 - 6,16,8,24,46,31,15,26,3,180,"3,600",6,9,14,15,0.933
12,04/11/2015,"Bucknell @ Folsom, Pa.",L 13 - 14,13,11,24,32,25,17,31,1,30,"3,600",14,9,14,18,0.778
13,04/17/2015,@ Lehigh,L 10 - 11,10,3,13,51,28,13,24,3,90,"3,600",11,12,14,16,0.875
