,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,"

 Virginia 
","
L 12 - 13 
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
","

      
        
          38
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          38
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          19
        
      
    
","

      
        
          28
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
"
1,02/14/2015,"

 Penn St. 
","
W 8 - 6 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          50
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          35
        
      
    
","

      
        
          10
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
"
2,02/18/2015,"

@ Towson 
","
W 15 - 11 
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          38
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          15
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          30
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
"
3,02/21/2015,"

 Holy Cross 
","
L 12 - 13 
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
","

      
        
          22
        
      
    
","

      
        
          46
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          36
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          20
        
      
    
","

      
        
          28
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
"
4,02/28/2015,"

 Lehigh 
","
W 11 - 8 
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          47
        
      
    
","

      
        
          27
        
      
    
","


","


          1/
        

","

      
        
          44
        
      
    
","

      
        
          13
        
      
    
","

      
        
          8
        
      
    
","

      
        
          16
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          6
        
      
    
"
5,03/07/2015,"

@ Duke 
","
L 8 - 14 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          26
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          20
        
      
    
","

      
        
          18
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          15
        
      
    
"
6,03/14/2015,"

@ Army West Point 
","
W 12 - 10 
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          20
        
      
    
","

      
        
          25
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          21
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","


          18/
        

"
7,03/18/2015,"

 Georgetown 
","
L 12 - 13 
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          41
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          28
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,592
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
"
8,03/21/2015,"

@ Lafayette 
","
W 19 - 10 
","

      
        
          19
        
      
    
","

      
        
          14
        
      
    
","

      
        
          33
        
      
    
","


          67/
        

","

      
        
          33
        
      
    
","

      
        
          3
        
      
    
","


          1/
        

","

      
        
          39
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
","

      
        
          23
        
      
    
","

      
        
          32
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
"
9,03/28/2015,"

 Colgate 
","
L 4 - 11 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          40
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          31
        
      
    
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
","

      
        
          13
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
"
10,04/04/2015,"

 Navy 
","
W 17 - 7 
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          51
        
      
    
","

      
        
          31
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          28
        
      
    
","

      
        
          4
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
11,04/08/2015,"

@ Maryland 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          33
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          21
        
      
    
","

      
        
          9
        
      
    
","

      
        
          1
        
      
    
","

      
        
          15
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
12,04/11/2015,"

@ Boston U. 
","
W 8 - 6 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          37
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
"
13,04/17/2015,"

@ Bucknell 
","
L 9 - 10 (1OT)
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
","

      
        
          17
        
      
    
","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,645
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
"
14,04/21/2015,"

 Army West Point 
","
L 11 - 12 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          43
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          6
        
      
    
","

      
        
          6
        
      
    
","

      
        
          14
        
      
    
","

      
        
          27
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
"
