,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,@ Lehigh,W 10 - 9,10,8,18,28,18,12,23,3,120,"3,600",9,10,11,15,0.733
1,02/14/2015,@ Hofstra,W 11 - 10,11,7,18,37,23,13,25,6,300,"3,600",10,13,10,12,0.833
2,02/22/2015,@ Richmond,W 11 - 10 (1OT),11,5,16,37,27,13,24,6,240,"3,665",10,11,14,21,0.667
3,02/27/2015,"Detroit Mercy @ Louisville, KY",W 12 - 6,12,4,16,45,31,13,8,14,21,"3,600",6,7,19,19,1.000/
4,03/01/2015,"Ohio St. @ Louisville, KY",W 10 - 9,10,6,16,22,13,4,23,5,240,"3,600",9,12,10,13,0.769
5,03/06/2015,@ Jacksonville,W 12 - 10,12,4,16,50,28,15,25,3,120,"3,600",10,5,8,8,1.000/
6,03/08/2015,@ Mercer,W 14 - 6,14,5,19,33,23,12,23,7,240,"3,600",6,14,18,20,0.900
7,03/21/2015,@ Georgetown,L 9 - 10,9,5,14,31,16,10,23,7,360,"3,600",10,11,17,17,1.000/
8,03/28/2015,@ Villanova,W 9 - 8,9,3,12,26,21,6,21,2,60,"3,600",8,10,16,18,0.889
9,03/31/2015,@ Bellarmine,L 3 - 9,3,2,5,26,12,13,8,4,16,"3,600",9,14,21,21,1.000/
10,04/04/2015,St. John's (NY),W 14 - 12,14,10,24,38,26,7,6,16,29,"3,600",12,9,12,13,0.923
11,04/07/2015,@ Notre Dame,L 7 - 14,7,4,11,38,14,8,24,6,270,"3,600",14,13,16,19,0.842
12,04/11/2015,@ Providence,W 14 - 10,14,7,21,35,18,11,28,2,90,"3,600",10,11,11,13,0.846
13,04/18/2015,Duke,L 8 - 15,8,5,13,39,19,12,5,10,27,"3,600",15,14,14,18,0.778
14,04/25/2015,Denver,L 11 - 18,11,6,17,30,18,13,33,3,180,"3,600",18,9,7,7,1.000/
15,04/30/2015,"Georgetown @ Villanova, Pa.",L 8 - 12,8,3,11,24,20,7,24,5,270,"3,600",12,7,14,17,0.824
