,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,Army West Point,L 7 - 12,7,4,11,17,13,6,22,6,300,"3,600",12,12,14,17,0.824
1,02/14/2015,@ North Carolina,L 8 - 20,8,6,14,35,19,13,32/,2,60,"3,600",20/,9,14,15,0.933
2,02/21/2015,@ Harvard,L 13 - 14,13,7,20,34,24,14,30,6,240,"3,600",14,12,10,11,0.909
3,02/28/2015,Brown,L 12 - 18,12,10,22,41,20,12,32/,3,120,"3,600",18,11,17,21,0.810
4,03/07/2015,@ Albany (NY),L 9 - 10,9,5,14,44,30,16,23,3,120,"3,600",10,15,21/,27/,0.778
5,03/10/2015,Quinnipiac,W 18 - 5,18/,13/,31/,42,31,18,27,6,330,"3,600",5,13,12,13,0.923
6,03/14/2015,Penn St.,W 12 - 8,12,9,21,31,21,8,23,3,120,"3,600",8,9,16,18,0.889
7,03/21/2015,@ Hofstra,W 9 - 7,9,7,16,24,13,8,18,11,450,"3,600",7,13,13,15,0.867
8,03/28/2015,@ Towson,L 3 - 6,3,3,6,32,17,7,13,4,210,"3,600",6,9,12,16,0.750
9,04/04/2015,Fairfield,L 9 - 10,9,6,15,35,21,10,23,1,60,"3,600",10,7,13,14,0.929
10,04/11/2015,@ Hartford,L 8 - 15,8,7,15,33,21,10,27,3,180,"3,600",15,7,10,12,0.833
11,04/18/2015,Drexel,W 12 - 9,12,9,21,33,22,9,24,3,90,"3,600",9,14,13,14,0.929
12,04/24/2015,Delaware,L 9 - 10,9,6,15,44,27,8,22,6,330,"3,600",10,8,9,10,0.900
13,04/30/2015,@ Fairfield,W 9 - 8,9,3,12,22,17,8,21,7,300,"3,600",8,8,16,20,0.800
14,05/02/2015,"Towson @ Fairfield, Conn.",L 8 - 9,8,4,12,27,15,6,20,4,270,"3,600",9,14,11,11,1.000/
