,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/08/2015,"

 VMI 
","
W 21 - 7 
","

      
        
          21
        
      
    
","

      
        
          14
        
      
    
","

      
        
          35
        
      
    
","

      
        
          48
        
      
    
","

      
        
          31
        
      
    
","


","


","

      
        
          44
        
      
    
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          32
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          7
        
      
    
"
1,02/14/2015,"

 Maryland 
","
L 1 - 8 
","

      
        
          1
        
      
    
","

      
        
          1
        
      
    
","

      
        
          2
        
      
    
","

      
        
          27
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          7
        
      
    
","

      
        
          11
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          13
        
      
    
"
2,02/21/2015,"

 Bucknell 
","
L 7 - 8 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          17
        
      
    
","


","


          1/
        

","

      
        
          29
        
      
    
","

      
        
          9
        
      
    
","

      
        
          10
        
      
    
","

      
        
          10
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          7
        
      
    
"
3,02/28/2015,"

@ Holy Cross 
","
W 7 - 6 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          13
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
"
4,03/03/2015,"

 Towson 
","
W 8 - 7 (3OT)
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          34
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          45
        
      
    
","

      
        
          21
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","


          4,304/
        

","

      
        
          7
        
      
    
","

      
        
          11
        
      
    
"
5,03/07/2015,"

@ Johns Hopkins 
","
L 8 - 13 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          30
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          25
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
"
6,03/10/2015,"

@ Lafayette 
","
W 18 - 4 
","

      
        
          18
        
      
    
","

      
        
          8
        
      
    
","

      
        
          26
        
      
    
","

      
        
          52
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          17
        
      
    
","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          7
        
      
    
"
7,03/14/2015,"

 Lehigh 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          19
        
      
    
","

      
        
          31
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          17
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          27
        
      
    
","

      
        
          4
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
8,03/21/2015,"

@ Colgate 
","
W 7 - 6 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          32
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          17
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
"
9,03/28/2015,"

 Boston U. 
","
W 14 - 6 
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          42
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          39
        
      
    
","

      
        
          12
        
      
    
","

      
        
          15
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
"
10,04/04/2015,"

@ Loyola Maryland 
","
L 7 - 17 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          31
        
      
    
","

      
        
          16
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          16
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          14
        
      
    
"
11,04/11/2015,"

 Army West Point 
","
W 10 - 7 
","

      
        
          10
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          37
        
      
    
","

      
        
          17
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
