,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,"

 Vermont 
","
W 15 - 8 
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          40
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          14
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          15
        
      
    
"
1,02/14/2015,"

@ Loyola Maryland 
","
L 6 - 8 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          32
        
      
    
","


          22/
        

","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          14
        
      
    
"
2,02/21/2015,"

@ Villanova 
","
L 7 - 11 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          29
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          20
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
3,02/28/2015,"

 Penn 
","
W 14 - 11 
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","

      
        
          45
        
      
    
","

      
        
          32
        
      
    
","


","


","

      
        
          44
        
      
    
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          17
        
      
    
","

      
        
          29
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,596
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
"
4,03/07/2015,"

@ Harvard 
","
L 9 - 12 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          32
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          20
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          18
        
      
    
"
5,03/10/2015,"

 Marist @ Babson Park, Mass.
","
W 9 - 8 
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          35
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          21
        
      
    
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
"
6,03/14/2015,"

@ Massachusetts 
","
L 8 - 12 
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
","

      
        
          28
        
      
    
","

      
        
          17
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","

      
        
          8
        
      
    
","

      
        
          15
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
"
7,03/21/2015,"

 Denver @ Hempstead, New York
","
L 8 - 10 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
"
8,03/29/2015,"

 Ohio St. 
","
L 8 - 10 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          27
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          20
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
"
9,04/04/2015,"

@ Maryland 
","
L 5 - 12 
","

      
        
          5
        
      
    
","

      
        
          1
        
      
    
","

      
        
          6
        
      
    
","

      
        
          20
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          18
        
      
    
","

      
        
          12
        
      
    
","

      
        
          2
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          14
        
      
    
"
10,04/11/2015,"

@ Johns Hopkins 
","
L 10 - 11 (2OT)
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          34
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          180
        
      
    
","

      
        
          4,073
        
      
    
","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
11,04/19/2015,"

 Rutgers 
","
W 11 - 6 
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          39
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          17
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          20
        
      
    
","

      
        
          5
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
"
12,04/25/2015,"

@ Michigan 
","
W 10 - 9 
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          15
        
      
    
","

      
        
          43
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          7
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          13
        
      
    
"
13,04/30/2015,"

 Johns Hopkins @ College Park, MD
","
L 9 - 14 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          17
        
      
    
"
