,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/10/2015,"

@ Ohio St. 
","
L 6 - 10 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          27
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          17
        
      
    
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          5
        
      
    
","

      
        
          20
        
      
    
","

      
        
          4
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
1,02/14/2015,"

 Bellarmine 
","
L 10 - 13 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          29
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          14
        
      
    
"
2,02/21/2015,"

@ Detroit Mercy 
","
L 10 - 11 (1OT)
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          51
        
      
    
","

      
        
          26
        
      
    
","

      
        
          4
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,715
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
"
3,02/28/2015,"

@ High Point 
","
L 10 - 13 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          32
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          15
        
      
    
","

      
        
          5
        
      
    
","

      
        
          8
        
      
    
","

      
        
          27
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          14
        
      
    
"
4,03/07/2015,"

 Siena 
","
W 12 - 10 
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          38
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
"
5,03/11/2015,"

@ Jacksonville 
","
L 13 - 18 
","

      
        
          13
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          41
        
      
    
","

      
        
          29
        
      
    
","


","


","

      
        
          29
        
      
    
","

      
        
          13
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
","

      
        
          35
        
      
    
","

      
        
          4
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","


          18/
        

","

      
        
          12
        
      
    
"
6,03/21/2015,"

@ Sacred Heart 
","
L 10 - 12 
","

      
        
          10
        
      
    
","

      
        
          2
        
      
    
","

      
        
          12
        
      
    
","

      
        
          41
        
      
    
","

      
        
          28
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          26
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
"
7,03/24/2015,"

 Maryland 
","
L 4 - 13 
","

      
        
          4
        
      
    
","

      
        
          3
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","

      
        
          9
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          16
        
      
    
"
8,03/28/2015,"

 Hobart and William Smith 
","
L 6 - 7 (1OT)
","

      
        
          6
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          26
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          24
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,768
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
"
9,04/04/2015,"

@ Saint Joseph's 
","
L 11 - 18 
","

      
        
          11
        
      
    
","

      
        
          5
        
      
    
","

      
        
          16
        
      
    
","

      
        
          47
        
      
    
","

      
        
          29
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
","

      
        
          19
        
      
    
","

      
        
          32
        
      
    
","

      
        
          4
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","


          18/
        

","

      
        
          11
        
      
    
"
