,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,Manhattan,W 19 - 3,19,11,30,45,28,15,24,7,300,"3,600",3,13,13,14,0.929
1,02/14/2015,@ St. John's (NY),L 8 - 13,8,5,13,34,24,13,23,6,270,"3,600",13,13,16,17,0.941
2,02/20/2015,NJIT,W 18 - 4,18,11,29,39,27,19,26,2,120,"3,600",4,2,9,11,0.818
3,02/28/2015,Fairfield,W 10 - 9,10,8,18,24,19,8,22,2,90,"3,600",9,9,13,18,0.722
4,03/04/2015,@ Marist,W 14 - 10,14,12,26,39,22,10,24,2,240,"3,600",10,8,16,17,0.941
5,03/08/2015,@ Rutgers,W 13 - 9,13,8,21,22,17,6,26,2,60,"3,600",9,11,18,19,0.947
6,03/14/2015,Albany (NY),L 15 - 17,15,10,25,38,21,18,36,4,180,"3,600",17,11,10,11,0.909
7,03/21/2015,UMBC,W 12 - 6,12,9,21,34,21,17,22,2,90,"3,600",6,7,12,14,0.857
8,03/28/2015,@ Vermont,W 21 - 12,21,12,33,38,30,20,38,4,180,"3,600",12,5,20,24,0.833
9,03/31/2015,Quinnipiac,W 17 - 9,17,13,30,42,31,22,29,4,180,"3,600",9,9,12,13,0.923
10,04/04/2015,Princeton,W 13 - 10,13,10,23,30,21,13,27,1,30,"3,600",10,8,19,21,0.905
11,04/10/2015,@ UMass Lowell,W 20 - 9,20,17,37,40,31,24/,32,1,60,"3,600",9,4,13,15,0.867
12,04/12/2015,Lehigh,L 11 - 12,11,4,15,35,18,17,26,4,210,"3,600",12,8,10,11,0.909
13,04/15/2015,Duke,L 11 - 17,11,7,18,31,22,9,32,2,90,"3,600",17,7,14,15,0.933
14,04/19/2015,Binghamton,W 14 - 13 (1OT),14,10,24,25,23,13,29,1,30,"3,790",13,10,14,16,0.875
15,04/24/2015,@ Hartford,W 9 - 8 (1OT),9,6,15,33,24,9,21,2,90,"3,770",8,5,11,15,0.733
16,04/30/2015,"Vermont @ Albany, N.Y.",W 16 - 13,16,7,23,48,26,21,33,4,150,"3,600",13,9,12,15,0.800
17,05/02/2015,@ Albany (NY),L 9 - 22,9,5,14,25,19,13,33,8,330,"3,600",22,11,14,17,0.824
