,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,"

 Siena 
","
W 21 - 7 
","

      
        
          21
        
      
    
","

      
        
          14
        
      
    
","

      
        
          35
        
      
    
","

      
        
          50
        
      
    
","

      
        
          34
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          43
        
      
    
","

      
        
          16
        
      
    
","

      
        
          6
        
      
    
","

      
        
          25
        
      
    
","

      
        
          30
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          8
        
      
    
"
1,02/15/2015,"

 Cornell 
","
W 14 - 6 
","

      
        
          14
        
      
    
","

      
        
          10
        
      
    
","

      
        
          24
        
      
    
","

      
        
          38
        
      
    
","

      
        
          27
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
"
2,02/22/2015,"

 Army West Point 
","
W 12 - 9 
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          35
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          39
        
      
    
","

      
        
          15
        
      
    
","

      
        
          5
        
      
    
","

      
        
          21
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
"
3,03/01/2015,"

 Virginia 
","
W 15 - 9 
","

      
        
          15
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","

      
        
          50
        
      
    
","

      
        
          35
        
      
    
","


          5/
        

","


","

      
        
          31
        
      
    
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          20
        
      
    
","

      
        
          27
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
"
4,03/07/2015,"

 St. John's (NY) @ Kennesaw, Ga.
","
W 14 - 6 
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          25
        
      
    
","

      
        
          40
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          42
        
      
    
","

      
        
          19
        
      
    
","

      
        
          13
        
      
    
","

      
        
          14
        
      
    
","

      
        
          21
        
      
    
","

      
        
          6
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          9
        
      
    
"
5,03/14/2015,"

 Johns Hopkins 
","
W 13 - 10 
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          41
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          16
        
      
    
","

      
        
          27
        
      
    
","

      
        
          4
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
"
6,03/22/2015,"

 Duke 
","
W 19 - 7 
","

      
        
          19
        
      
    
","

      
        
          8
        
      
    
","

      
        
          27
        
      
    
","

      
        
          44
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          29
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          14
        
      
    
"
7,03/28/2015,"

@ Notre Dame 
","
L 12 - 13 (2OT)
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          44
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          37
        
      
    
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          18
        
      
    
","

      
        
          29
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","


          3,906/
        

","

      
        
          13
        
      
    
","

      
        
          11
        
      
    
"
8,04/02/2015,"

 Albany (NY) 
","
W 17 - 12 
","

      
        
          17
        
      
    
","

      
        
          11
        
      
    
","

      
        
          28
        
      
    
","

      
        
          45
        
      
    
","

      
        
          32
        
      
    
","

      
        
          1
        
      
    
","


          2/
        

","

      
        
          35
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","


          28/
        

","

      
        
          33
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
9,04/11/2015,"

@ North Carolina 
","
L 15 - 17 
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
","

      
        
          22
        
      
    
","

      
        
          48
        
      
    
","

      
        
          32
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          21
        
      
    
","

      
        
          35
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
"
