,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/10/2015,Johns Hopkins,W 7 - 5,7,4,11,34,18,8,15,4,150,"3,600",5,12,15,17,0.882
1,02/18/2015,Loyola Maryland,L 11 - 15,11,7,18,45,19,12,30,8,390,"3,600",15,6,18,20,0.900
2,02/22/2015,@ Georgetown,W 9 - 6,9,1,10,30,14,6,18,4,210,"3,600",6,10,12,16,0.750
3,02/27/2015,@ Mt. St. Mary's,W 7 - 4,7,3,10,44,24,10,15,1,30,"3,600",4,9,12,15,0.800
4,03/03/2015,@ Navy,L 7 - 8 (3OT),7,4,11,35,18,8,21,2,90,"4,304/",8,14,16,20,0.800
5,03/07/2015,@ UMBC,W 11 - 7,11,5,16,43,21,8,5,15,21,"3,600",7,4,13,13,1.000/
6,03/14/2015,Hobart and William Smith,W 9 - 6,9,4,13,27,16,7,19,3,150,"3,600",6,10,18,19,0.947
7,03/17/2015,Ohio St.,L 6 - 7,6,2,8,30,17,6,16,3,90,"3,600",7,12,14,16,0.875
8,03/21/2015,@ Binghamton,W 9 - 8,9,7,16,36,18,12,21,2,90,"3,600",8,9,9,11,0.818
9,03/28/2015,Massachusetts,W 6 - 3,6,4,10,25,15,6,13,4,210,"3,600",3,14,14,15,0.933
10,04/04/2015,@ Delaware,W 12 - 7,12,5,17,37,20,10,23,1,30,"3,600",7,14,14,17,0.824
11,04/11/2015,@ Fairfield,W 8 - 7,8,5,13,25,17,11,19,3,150,"3,600",7,12,12,14,0.857
12,04/18/2015,Hofstra,L 2 - 9,2,1,3,29,16,8,14,2,120,"3,600",9,6,12,12,1.000/
13,04/25/2015,@ Drexel,L 10 - 11,10,4,14,48,22,15,24,3,150,"3,600",11,11,9,10,0.900
14,04/30/2015,"Drexel @ Fairfield, Conn.",W 11 - 8,11,8,19,33,20,12,20,3,150,"3,600",8,8,13,13,1.000/
15,05/02/2015,"Massachusetts @ Fairfield, Conn.",W 9 - 8,9,3,12,40,23,14,20,3,90,"3,600",8,7,10,11,0.909
16,05/06/2015,High Point,W 10 - 8,10,5,15,37,23,15,22,2,90,"3,600",8,9,9,13,0.692
17,05/09/2015,@ Notre Dame,L 10 - 12,10,4,14,34,18,7,26,4,120,"3,600",12,12,19,23,0.826
