,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,"

 Furman 
","
W 19 - 4 
","

      
        
          19
        
      
    
","

      
        
          10
        
      
    
","

      
        
          29
        
      
    
","

      
        
          52
        
      
    
","

      
        
          32
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          45
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          6
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          7
        
      
    
"
1,02/10/2015,"

 High Point 
","
W 15 - 9 
","

      
        
          15
        
      
    
","

      
        
          7
        
      
    
","

      
        
          22
        
      
    
","

      
        
          39
        
      
    
","

      
        
          27
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          42
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          28
        
      
    
","


          12/
        

","


          480/
        

","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
"
2,02/14/2015,"

 Massachusetts 
","
W 20 - 8 
","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          32
        
      
    
","

      
        
          40
        
      
    
","

      
        
          29
        
      
    
","


","

      
        
          1
        
      
    
","

      
        
          43
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          32
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
"
3,02/21/2015,"

 Johns Hopkins 
","
W 13 - 11 
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          22
        
      
    
","

      
        
          38
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          14
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","

      
        
          27
        
      
    
","

      
        
          8
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
"
4,02/27/2015,"

 Denver 
","
W 12 - 10 
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          57
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
"
5,03/07/2015,"

 Manhattan 
","
W 26 - 6 
","


          26/
        

","


          18/
        

","


          44/
        

","

      
        
          50
        
      
    
","

      
        
          36
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          42
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          23
        
      
    
","

      
        
          36
        
      
    
","

      
        
          5
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          6
        
      
    
","

      
        
          6
        
      
    
"
6,03/10/2015,"

 Bryant 
","
W 10 - 9 
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          17
        
      
    
","

      
        
          42
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          41
        
      
    
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
"
7,03/14/2015,"

@ Richmond 
","
W 16 - 11 
","

      
        
          16
        
      
    
","

      
        
          14
        
      
    
","

      
        
          30
        
      
    
","

      
        
          44
        
      
    
","

      
        
          33
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          47
        
      
    
","

      
        
          19
        
      
    
","

      
        
          13
        
      
    
","

      
        
          16
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          15
        
      
    
"
8,03/17/2015,"

 Harvard 
","
W 15 - 10 
","

      
        
          15
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          44
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          40
        
      
    
","

      
        
          18
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
","

      
        
          27
        
      
    
","

      
        
          5
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          21
        
      
    
"
9,03/21/2015,"

 Maryland @ Santa Ana, Calif.
","
L 8 - 10 
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
","

      
        
          16
        
      
    
","

      
        
          31
        
      
    
","

      
        
          19
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          10
        
      
    
","

      
        
          7
        
      
    
","

      
        
          7
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
