,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,"

@ Penn St. 
","
L 8 - 15 
","

      
        
          8
        
      
    
","

      
        
          1
        
      
    
","

      
        
          9
        
      
    
","

      
        
          45
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          26
        
      
    
","

      
        
          7
        
      
    
","

      
        
          2
        
      
    
","

      
        
          13
        
      
    
","

      
        
          27
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
"
1,02/14/2015,"

 Colgate 
","
L 8 - 10 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          37
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          15
        
      
    
","

      
        
          21
        
      
    
","

      
        
          9
        
      
    
","

      
        
          390
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          13
        
      
    
"
2,02/21/2015,"

@ Providence 
","
L 9 - 12 
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          39
        
      
    
","

      
        
          26
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
","

      
        
          23
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          10
        
      
    
"
3,02/28/2015,"

 Boston U. 
","
L 7 - 15 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          39
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          5
        
      
    
","

      
        
          240
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
"
4,03/03/2015,"

@ NJIT 
","
W 17 - 10 
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          48
        
      
    
","

      
        
          33
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          38
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
","

      
        
          19
        
      
    
","

      
        
          30
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
"
5,03/07/2015,"

 Air Force @ Bethesda, Md.
","
W 11 - 10 (3OT)
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          38
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          33
        
      
    
","

      
        
          24
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          26
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          4,100
        
      
    
","

      
        
          10
        
      
    
","

      
        
          15
        
      
    
"
6,03/10/2015,"

@ Georgetown 
","
L 10 - 18 
","

      
        
          10
        
      
    
","

      
        
          8
        
      
    
","

      
        
          18
        
      
    
","

      
        
          35
        
      
    
","

      
        
          25
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          29
        
      
    
","

      
        
          19
        
      
    
","

      
        
          8
        
      
    
","

      
        
          12
        
      
    
","

      
        
          33
        
      
    
","

      
        
          8
        
      
    
","

      
        
          360
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          18
        
      
    
","


          21/
        

"
7,03/14/2015,"

@ Sacred Heart 
","
L 17 - 21 
","

      
        
          17
        
      
    
","

      
        
          10
        
      
    
","

      
        
          27
        
      
    
","

      
        
          44
        
      
    
","

      
        
          31
        
      
    
","

      
        
          3
        
      
    
","


","

      
        
          47
        
      
    
","

      
        
          21
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          39
        
      
    
","

      
        
          6
        
      
    
","

      
        
          480
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          21
        
      
    
","

      
        
          15
        
      
    
"
8,03/21/2015,"

@ UMass Lowell 
","
W 18 - 10 
","

      
        
          18
        
      
    
","

      
        
          11
        
      
    
","

      
        
          29
        
      
    
","

      
        
          59
        
      
    
","

      
        
          39
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          50
        
      
    
","

      
        
          20
        
      
    
","

      
        
          7
        
      
    
","

      
        
          23
        
      
    
","

      
        
          32
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
"
9,03/24/2015,"

@ Dartmouth 
","
L 15 - 16 
","

      
        
          15
        
      
    
","

      
        
          10
        
      
    
","

      
        
          25
        
      
    
","

      
        
          44
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          14
        
      
    
","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
","

      
        
          35
        
      
    
","

      
        
          10
        
      
    
","

      
        
          510
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          18
        
      
    
"
10,03/28/2015,"

 Stony Brook 
","
L 12 - 21 
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          30
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          39
        
      
    
","

      
        
          19
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          38
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          21
        
      
    
","

      
        
          9
        
      
    
"
