,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/07/2015,"

@ Loyola Maryland 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          43
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          28
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
"
1,02/14/2015,"

 Drexel 
","
W 14 - 10 
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          39
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
","

      
        
          28
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
"
2,02/21/2015,"

@ Rutgers 
","
W 14 - 5 
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          19
        
      
    
","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          30
        
      
    
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          12
        
      
    
","

      
        
          23
        
      
    
","

      
        
          4
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
"
3,03/01/2015,"

@ Syracuse 
","
L 9 - 15 
","

      
        
          9
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          31
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          18
        
      
    
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          7
        
      
    
","

      
        
          27
        
      
    
","

      
        
          7
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          20
        
      
    
"
4,03/07/2015,"

 Cornell 
","
W 15 - 14 
","

      
        
          15
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          34
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          1
        
      
    
","

      
        
          32
        
      
    
","

      
        
          8
        
      
    
","

      
        
          8
        
      
    
","

      
        
          9
        
      
    
","

      
        
          32
        
      
    
","

      
        
          6
        
      
    
","

      
        
          330
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          21
        
      
    
"
5,03/10/2015,"

 Saint Joseph's 
","
W 15 - 14 
","

      
        
          15
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          32
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          11
        
      
    
","

      
        
          4
        
      
    
","

      
        
          18
        
      
    
","

      
        
          32
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
"
6,03/14/2015,"

 Notre Dame 
","
L 9 - 11 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          37
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          16
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
"
7,03/21/2015,"

@ Johns Hopkins 
","
W 16 - 15 (1OT)
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          23
        
      
    
","

      
        
          39
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          36
        
      
    
","

      
        
          13
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
","

      
        
          33
        
      
    
","

      
        
          5
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,691
        
      
    
","

      
        
          15
        
      
    
","

      
        
          13
        
      
    
"
8,03/24/2015,"

@ VMI 
","
W 17 - 3 
","

      
        
          17
        
      
    
","

      
        
          9
        
      
    
","

      
        
          26
        
      
    
","

      
        
          38
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          40
        
      
    
","

      
        
          15
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          3
        
      
    
","

      
        
          13
        
      
    
"
9,03/28/2015,"

 Richmond 
","
W 14 - 7 
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          22
        
      
    
","

      
        
          34
        
      
    
","

      
        
          23
        
      
    
","


","


","

      
        
          37
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          18
        
      
    
","

      
        
          24
        
      
    
","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
"
