,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/13/2015,Lafayette,L 5 - 10,5,1,6,33,15,6,18,3,180,"3,600",10,7,10,12,0.833
1,02/24/2015,@ Rutgers,L 10 - 13,10,7,17,34,20,7,26,2,60,"3,600",13,6,19,19,1.000/
2,02/28/2015,@ UMass Lowell,W 14 - 6,14,9,23,46,25,13,24,3,120,"3,600",6,9,16,19,0.842
3,03/03/2015,@ Monmouth,L 3 - 7,3,2,5,26,12,4,13,7,330,"3,600",7,15,10,13,0.769
4,03/07/2015,Dartmouth,L 10 - 11,10,7,17,29,16,11,25,2,90,"3,600",11,4,7,7,1.000/
5,03/17/2015,VMI,W 12 - 4,12,6,18,29,21,16,12,9,21,"3,600",4,10,14,18,0.778
6,03/21/2015,Mt. St. Mary's,W 6 - 5 (1OT),6,4,10,34,17,9,15,2,120,"3,691",5,6,11,14,0.786
7,03/28/2015,@ NJIT,W 7 - 2,7,5,12,42,22,7,11,4,210,"3,600",2,8,14,14,1.000/
8,04/04/2015,Bryant,L 3 - 5,3,1,4,29,13,2,11,4,180,"3,600",5,13,17,21,0.810
9,04/07/2015,@ Saint Joseph's,L 3 - 14,3,1,4,16,9,11,21,2,120,"3,600",14,19,8,18,0.444
10,04/11/2015,@ Hobart and William Smith,L 6 - 7 (1OT),6,3,9,25,17,6,16,1,30,"3,839",7,12,11,16,0.688
11,04/18/2015,Sacred Heart,L 8 - 9,8,5,13,31,15,13,21,5,210,"3,600",9,4,8,10,0.800
12,04/25/2015,@ Robert Morris,L 6 - 14,6,3,9,36,19,7,23,2,120,"3,600",14,8,17,20,0.850
