,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,Providence,W 9 - 5,9,6,15,46,21,16,18,4,240,"3,600",5,6,14,19,0.737
1,02/12/2016,UMass Lowell,W 8 - 5,8,7,15,27,15,17,11,12,17,"3,600",5,9,12,13,0.923
2,02/16/2016,@ High Point,W 13 - 10,13,6,19,31,19,13,26,3,150,"3,600",10,18,13,17,0.765
3,02/20/2016,Hartford,L 10 - 16,10,7,17,36,22,15,30,2,90,"3,600",16,7,17,23,0.739
4,02/27/2016,Navy,W 10 - 9 (2OT),10,6,16,32,15,12,21,3,150,"4,006",9,15,19,23,0.826
5,03/05/2016,@ Canisius,W 10 - 8,10,6,16,34,23,13,20,4,210,"3,600",8,10,15,16,0.938
6,03/12/2016,Colgate,W 11 - 6,11,4,15,34,18,18,21,1,60,"3,600",6,13,16,23,0.696
7,03/19/2016,@ Bucknell,L 6 - 13,6,4,10,38,20,12,23,3,120,"3,600",13,13,16,18,0.889
8,03/22/2016,@ Harvard,W 9 - 8,9,6,15,33,16,11,19,7,270,"3,600",8,13,17,18,0.944
9,03/26/2016,@ Lafayette,W 16 - 6,16,7,23,43,28,21,26,5,270,"3,600",6,4,11,12,0.917
10,04/02/2016,Lehigh,L 7 - 8,7,5,12,30,16,14,19,1,60,"3,600",8,5,15,16,0.938
11,04/09/2016,Army West Point,L 4 - 15,4,1,5,31,19,13,23,2,90,"3,600",15,8,11,16,0.688
12,04/16/2016,@ Loyola Maryland,L 12 - 13,12,6,18,27,19,16,28,2,90,"3,600",13,15,13,21,0.619
13,04/22/2016,@ Holy Cross,L 7 - 11,7,4,11,25,18,15,21,5,210,"3,600",11,12,9,13,0.692
14,05/08/2016,Duke,L 8 - 15,8,8,16,31,14,9,26,1,60,"3,600",15,15,13,15,0.867
