,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,"

@ Colgate 
","
L 4 - 11 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          32
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          15
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          9
        
      
    
"
1,02/27/2016,"

@ Marist 
","
L 8 - 10 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          42
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          15
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          12
        
      
    
"
2,03/05/2016,"

@ Hobart and William Smith 
","
L 6 - 12 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          24
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          23
        
      
    
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          7
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
"
3,03/12/2016,"

 Delaware 
","
L 11 - 12 (1OT)
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          31
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,639
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
4,03/19/2016,"

 UMBC 
","
W 16 - 10 
","

      
        
          16
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          36
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          16
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          30
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
"
5,03/22/2016,"

 Drexel 
","
W 10 - 7 
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          44
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          14
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          21
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          11
        
      
    
"
6,03/26/2016,"

@ Towson 
","
L 6 - 15 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          28
        
      
    
","

      
        
          17
        
      
    
","


","


","

      
        
          26
        
      
    
","

      
        
          13
        
      
    
","

      
        
          2
        
      
    
","

      
        
          13
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          10
        
      
    
"
7,04/02/2016,"

@ Hartford 
","
L 9 - 17 
","

      
        
          9
        
      
    
","

      
        
          5
        
      
    
","

      
        
          14
        
      
    
","

      
        
          26
        
      
    
","

      
        
          11
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          18
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          5
        
      
    
","

      
        
          30
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
"
8,04/09/2016,"

 UMass Lowell 
","
W 16 - 5 
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          59
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          43
        
      
    
","

      
        
          12
        
      
    
","

      
        
          6
        
      
    
","

      
        
          16
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          8
        
      
    
"
9,04/12/2016,"

 Canisius 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
","

      
        
          22
        
      
    
","

      
        
          48
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          5
        
      
    
","

      
        
          5
        
      
    
","

      
        
          12
        
      
    
","

      
        
          29
        
      
    
","

      
        
          4
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
"
