,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,"

 Manhattan 
","
W 16 - 3 
","

      
        
          16
        
      
    
","

      
        
          12
        
      
    
","

      
        
          28
        
      
    
","


          55/
        

","


          33/
        

","

      
        
          2
        
      
    
","


","

      
        
          40
        
      
    
","

      
        
          17
        
      
    
","

      
        
          5
        
      
    
","

      
        
          20
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          3
        
      
    
","

      
        
          7
        
      
    
"
1,02/14/2016,"

 Bucknell 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          32
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          17
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
2,02/20/2016,"

@ Providence 
","
W 12 - 10 
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          46
        
      
    
","


          33/
        

","


","


","

      
        
          42
        
      
    
","

      
        
          16
        
      
    
","

      
        
          11
        
      
    
","

      
        
          17
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          16
        
      
    
"
3,02/27/2016,"

@ Hartford 
","
W 16 - 11 
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          23
        
      
    
","

      
        
          45
        
      
    
","

      
        
          21
        
      
    
","


          4/
        

","


","

      
        
          33
        
      
    
","

      
        
          12
        
      
    
","

      
        
          8
        
      
    
","

      
        
          10
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          13
        
      
    
"
4,03/05/2016,"

 Yale 
","
L 4 - 14 
","

      
        
          4
        
      
    
","

      
        
          2
        
      
    
","

      
        
          6
        
      
    
","

      
        
          25
        
      
    
","

      
        
          15
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          16
        
      
    
","

      
        
          5
        
      
    
","

      
        
          6
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          13
        
      
    
"
5,03/08/2016,"

 Harvard 
","
W 12 - 9 
","

      
        
          12
        
      
    
","

      
        
          3
        
      
    
","

      
        
          15
        
      
    
","

      
        
          53
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          35
        
      
    
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          15
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
"
6,03/12/2016,"

 Drexel 
","
L 5 - 14 
","

      
        
          5
        
      
    
","

      
        
          1
        
      
    
","

      
        
          6
        
      
    
","

      
        
          25
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          20
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          11
        
      
    
"
7,04/02/2016,"

@ Robert Morris 
","
W 13 - 12 
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          23
        
      
    
","

      
        
          38
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          34
        
      
    
","

      
        
          14
        
      
    
","

      
        
          14
        
      
    
","

      
        
          14
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
"
8,04/05/2016,"

@ Brown 
","
W 11 - 10 (1OT)
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          17
        
      
    
","

      
        
          47
        
      
    
","

      
        
          26
        
      
    
","


","


","

      
        
          30
        
      
    
","

      
        
          19
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,840
        
      
    
","

      
        
          10
        
      
    
","

      
        
          17
        
      
    
"
9,04/09/2016,"

 Wagner 
","
W 18 - 5 
","

      
        
          18
        
      
    
","


          15/
        

","


          33/
        

","

      
        
          45
        
      
    
","


          33/
        

","

      
        
          1
        
      
    
","


          1/
        

","

      
        
          33
        
      
    
","

      
        
          11
        
      
    
","

      
        
          10
        
      
    
","

      
        
          15
        
      
    
","

      
        
          24
        
      
    
","

      
        
          5
        
      
    
","


          420/
        

","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          5
        
      
    
"
10,04/16/2016,"

@ Saint Joseph's 
","
L 9 - 10 (1OT)
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          40
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          30
        
      
    
","

      
        
          19
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,734
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
11,04/19/2016,"

 Mt. St. Mary's 
","
W 12 - 7 
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          35
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          21
        
      
    
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          11
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
"
12,04/23/2016,"

 Hobart and William Smith 
","
W 15 - 2 
","

      
        
          15
        
      
    
","

      
        
          10
        
      
    
","

      
        
          25
        
      
    
","

      
        
          51
        
      
    
","

      
        
          29
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          34
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
","

      
        
          12
        
      
    
","

      
        
          21
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          2
        
      
    
","

      
        
          10
        
      
    
"
13,04/26/2016,"

@ Sacred Heart 
","
W 9 - 3 
","

      
        
          9
        
      
    
","

      
        
          3
        
      
    
","

      
        
          12
        
      
    
","

      
        
          35
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          31
        
      
    
","


          23/
        

","

      
        
          9
        
      
    
","

      
        
          15
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          3
        
      
    
","

      
        
          11
        
      
    
"
14,05/05/2016,"

 Hobart and William Smith @ Philadelphia, Pa.
","
L 6 - 7 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          38
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          16
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
"
