,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/14/2016,@ Michigan,L 8 - 9,8,3,11,42,23,7,19,4,180,"3,600",9,8,12,16,0.750
1,02/20/2016,Binghamton,W 11 - 4,11,8,19,35,20,7,19,2,90,"3,600",4,9,16,17,0.941
2,02/27/2016,Bucknell,W 11 - 10 (1OT),11,6,17,47,28,13,25,1,60,"3,706",10,10,17,20,0.850
3,03/05/2016,@ Lehigh,L 9 - 12,9,6,15,32,20,12,25,5,210,"3,600",12,12,10,11,0.909
4,03/08/2016,@ Hobart and William Smith,W 7 - 6,7,4,11,34,18,9,17,2,90,"3,600",6,9,15,20,0.750
5,03/12/2016,@ Boston U.,L 6 - 11,6,3,9,31,19,14,8,3,21,"3,600",11,7,19,20,0.950
6,03/15/2016,Cornell,L 5 - 6,5,3,8,29,19,4,14,3,150,"3,600",6,13,20,21,0.952
7,03/19/2016,Fairfield,L 7 - 12,7,6,13,36,17,11,21,3,150,"3,600",12,9,16,17,0.941
8,03/26/2016,Army West Point,L 7 - 11,7,3,10,34,18,9,21,3,150,"3,600",11,11,15,16,0.938
9,04/03/2016,Loyola Maryland,L 4 - 12,4,1,5,26,14,4,19,6,270,"3,600",12,12,15,17,0.882
10,04/09/2016,@ Navy,L 9 - 16,9,6,15,30,19,8,26,2,120,"3,600",16,10,17,19,0.895
11,04/16/2016,Holy Cross,L 6 - 12,6,3,9,26,16,15,21,3,120,"3,600",12,9,11,14,0.786
12,04/22/2016,@ Lafayette,W 14 - 9,14,6,20,38,26,11,26,5,240,"3,600",9,8,14,15,0.933
13,05/07/2016,@ Syracuse,L 3 - 18,3,3,23,10,24,8,22,5,210,"3,600",18,12,14,18,0.778
