,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,Penn St.,L 7 - 8,7,2,9,37,14,12,4,14,19,"3,600",8,8,15,16,0.938
1,02/27/2016,"Hobart and William Smith @ West Palm Beach, FL",W 10 - 8,10,4,14,40,20,11,21,2,90,"3,600",8,8,14,16,0.875
2,03/05/2016,@ Albany (NY),L 8 - 12,8,2,10,45,26,19,24,4,180,"3,600",12,9,15,17,0.882
3,03/12/2016,Virginia,W 14 - 10,14,11,25,34,21,15,27,4,240,"3,600",10,16,16,20,0.800
4,03/15/2016,@ Colgate,W 6 - 5,6,3,9,34,19,10,14,1,30,"3,600",5,14,19,23,0.826
5,03/19/2016,Yale,L 9 - 15,9,4,13,31,16,15,27,4,150,"3,600",15,9,14,19,0.737
6,03/26/2016,@ Penn,L 6 - 9,6,3,9,36,20,12,18,4,180,"3,600",9,5,12,15,0.800
7,04/02/2016,@ Dartmouth,W 19 - 4,19,13,32,51,32,19,27,3,150,"3,600",4,7,23,25,0.920
8,04/09/2016,Harvard,L 8 - 12,8,3,11,40,25,20,24,2,120,"3,600",12,13,18,20,0.900
9,04/12/2016,Syracuse,W 10 - 9 (1OT),10,7,17,28,16,4,22,4,180,"3,757",9,13,16,19,0.842
10,04/16/2016,@ Lehigh,W 13 - 12,13,7,20,35,24,25,27,1,60,"3,600",12,8,11,15,0.733
11,04/23/2016,Brown,L 5 - 22,5,5,10,31,19,13,30,5,240,"3,600",22/,17,16,23,0.696
12,04/30/2016,@ Princeton,L 6 - 7,6,5,11,40,19,11,17,3,180,"3,600",7,10,19,20,0.950
