,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,@ Sacred Heart,L 8 - 10,8,5,13,15,13,4,22,3,120,"3,600",10,13,17,21,0.810
1,02/27/2016,"Air Force @ Denver, Colo.",L 3 - 9,3,3,6,23,13,6,16,2,120,"3,600",9,9,14,20,0.700
2,02/28/2016,@ Denver,L 6 - 16,6,4,10,24,17,8,25,7,330,"3,600",16,12,15,18,0.833
3,03/05/2016,Wagner,L 6 - 7,6,2,8,31,18,12,17,2,120,"3,600",7,8,14,19,0.737
4,03/19/2016,@ Michigan,W 13 - 12,13,6,19,47,22,10,29,1,60,"3,576",12,9,15,18,0.833
5,03/22/2016,NJIT,L 7 - 10,7,5,12,41,21,15,20,3,180,"3,600",10,5,17,19,0.895
6,03/26/2016,@ Harvard,L 8 - 18,8,4,12,38,23,15,29,3,150,"3,600",18,13,15,20,0.750
7,03/29/2016,@ Vermont,L 9 - 15,9,5,14,40,21,10,26,7,300,"3,600",15,19,19,22,0.864
8,04/02/2016,Cornell,L 4 - 19,4,3,7,21,11,8,27,3,180,"3,600",19,13,14,24,0.583
9,04/09/2016,Yale,L 5 - 15,5,2,7,27,14,6,23,5,270,"3,600",15,18,11,20,0.550
10,04/16/2016,@ Princeton,L 3 - 7,3,1,4,28,18,4,14,4,210,"3,600",7,9,8,11,0.727
11,04/19/2016,@ UMass Lowell,L 10 - 11,10,6,16,39,24,12,24,3,150,"3,600",11,6,18,19,0.947
12,04/23/2016,Penn,L 4 - 11,4,1,5,36,21,10,19,2,120,"3,600",11,10,13,17,0.765
13,04/27/2016,@ Brown,L 3 - 16,3,3,6,20,13,2,23,5,270,"3,600",16,12,16,27,0.593
