,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/20/2016,"

 Virginia 
","
L 7 - 14 
","

      
        
          7
        
      
    
","

      
        
          3
        
      
    
","

      
        
          10
        
      
    
","

      
        
          29
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          25
        
      
    
","

      
        
          15
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
","

      
        
          25
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          17
        
      
    
"
1,02/27/2016,"

@ Albany (NY) 
","
L 14 - 20 
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          18
        
      
    
","

      
        
          37
        
      
    
","

      
        
          26
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          16
        
      
    
","

      
        
          7
        
      
    
","

      
        
          12
        
      
    
","


          38/
        

","

      
        
          4
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          20
        
      
    
","

      
        
          16
        
      
    
"
2,03/01/2016,"

@ Villanova 
","
L 9 - 14 
","

      
        
          9
        
      
    
","

      
        
          2
        
      
    
","

      
        
          11
        
      
    
","

      
        
          39
        
      
    
","

      
        
          16
        
      
    
","


","


","

      
        
          21
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          8
        
      
    
","

      
        
          26
        
      
    
","

      
        
          7
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          14
        
      
    
","

      
        
          14
        
      
    
"
3,03/05/2016,"

@ Saint Joseph's 
","
W 10 - 9 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","


","


","

      
        
          27
        
      
    
","

      
        
          10
        
      
    
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          11
        
      
    
"
4,03/08/2016,"

 Maryland 
","
L 8 - 12 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          38
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          32
        
      
    
","

      
        
          11
        
      
    
","

      
        
          6
        
      
    
","

      
        
          12
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
"
5,03/12/2016,"

@ Bryant 
","
W 14 - 5 
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          20
        
      
    
","

      
        
          38
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          28
        
      
    
","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          11
        
      
    
","

      
        
          22
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          10
        
      
    
"
6,03/19/2016,"

 St. John's (NY) 
","
W 13 - 4 
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          41
        
      
    
","

      
        
          27
        
      
    
","


","


","

      
        
          33
        
      
    
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          4
        
      
    
","

      
        
          16
        
      
    
"
7,03/22/2016,"

@ Binghamton 
","
L 7 - 10 
","

      
        
          7
        
      
    
","

      
        
          4
        
      
    
","

      
        
          11
        
      
    
","

      
        
          31
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          9
        
      
    
","

      
        
          4
        
      
    
","

      
        
          21
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
8,03/26/2016,"

 Mercer 
","
W 12 - 5 
","

      
        
          12
        
      
    
","

      
        
          4
        
      
    
","

      
        
          16
        
      
    
","

      
        
          42
        
      
    
","

      
        
          27
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          13
        
      
    
","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
","

      
        
          20
        
      
    
","

      
        
          6
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          5
        
      
    
","

      
        
          9
        
      
    
"
9,04/02/2016,"

@ Towson 
","
L 7 - 11 
","

      
        
          7
        
      
    
","

      
        
          1
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          12
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          17
        
      
    
","

      
        
          7
        
      
    
","

      
        
          5
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          16
        
      
    
"
