,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/15/2016,"

 Richmond 
","
L 10 - 11 
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          28
        
      
    
","

      
        
          16
        
      
    
","


          4/
        

","


","

      
        
          18
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          7
        
      
    
","

      
        
          23
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          15
        
      
    
"
1,02/20/2016,"

 Bucknell 
","
L 8 - 13 
","

      
        
          8
        
      
    
","

      
        
          4
        
      
    
","

      
        
          12
        
      
    
","

      
        
          19
        
      
    
","

      
        
          14
        
      
    
","


","


","

      
        
          17
        
      
    
","

      
        
          14
        
      
    
","

      
        
          4
        
      
    
","

      
        
          6
        
      
    
","

      
        
          25
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","


          23/
        

"
2,02/27/2016,"

@ Rutgers 
","
L 6 - 12 
","

      
        
          6
        
      
    
","

      
        
          3
        
      
    
","

      
        
          9
        
      
    
","

      
        
          33
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          15
        
      
    
","

      
        
          3
        
      
    
","

      
        
          14
        
      
    
","

      
        
          22
        
      
    
","

      
        
          5
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          11
        
      
    
"
3,03/01/2016,"

 UMass Lowell 
","
W 12 - 10 
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          43
        
      
    
","

      
        
          21
        
      
    
","


          4/
        

","


","

      
        
          31
        
      
    
","

      
        
          19
        
      
    
","

      
        
          3
        
      
    
","

      
        
          20
        
      
    
","

      
        
          25
        
      
    
","

      
        
          4
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
"
4,03/05/2016,"

 Stony Brook 
","
L 6 - 9 
","

      
        
          6
        
      
    
","

      
        
          1
        
      
    
","

      
        
          7
        
      
    
","

      
        
          35
        
      
    
","

      
        
          15
        
      
    
","


","


","

      
        
          25
        
      
    
","

      
        
          12
        
      
    
","

      
        
          1
        
      
    
","

      
        
          9
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          12
        
      
    
"
5,03/08/2016,"

@ Georgetown 
","
W 13 - 9 
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          17
        
      
    
","

      
        
          33
        
      
    
","

      
        
          20
        
      
    
","


","


","

      
        
          22
        
      
    
","

      
        
          8
        
      
    
","

      
        
          2
        
      
    
","

      
        
          14
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          9
        
      
    
","

      
        
          14
        
      
    
"
6,03/12/2016,"

 Yale 
","
L 5 - 10 
","

      
        
          5
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          33
        
      
    
","

      
        
          19
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          22
        
      
    
","

      
        
          17
        
      
    
","

      
        
          2
        
      
    
","

      
        
          13
        
      
    
","

      
        
          17
        
      
    
","

      
        
          6
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          14
        
      
    
"
7,03/19/2016,"

@ Colgate 
","
W 12 - 7 
","

      
        
          12
        
      
    
","

      
        
          7
        
      
    
","

      
        
          19
        
      
    
","

      
        
          30
        
      
    
","

      
        
          21
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          12
        
      
    
","

      
        
          5
        
      
    
","

      
        
          10
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
"
8,03/22/2016,"

 Quinnipiac 
","
W 13 - 7 
","

      
        
          13
        
      
    
","

      
        
          5
        
      
    
","

      
        
          18
        
      
    
","

      
        
          38
        
      
    
","

      
        
          24
        
      
    
","

      
        
          2
        
      
    
","


","

      
        
          26
        
      
    
","

      
        
          13
        
      
    
","

      
        
          4
        
      
    
","

      
        
          17
        
      
    
","

      
        
          24
        
      
    
","


","


","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          8
        
      
    
"
9,03/26/2016,"

@ Villanova 
","
L 9 - 15 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          35
        
      
    
","

      
        
          17
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          24
        
      
    
","

      
        
          15
        
      
    
","

      
        
          4
        
      
    
","

      
        
          13
        
      
    
","

      
        
          27
        
      
    
","

      
        
          2
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          13
        
      
    
"
