,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/06/2016,Ohio St.,L 7 - 8,7,4,11,19,12,5,19,5,240,"3,600",8,13,16,19,0.842
1,02/13/2016,@ North Carolina,L 6 - 14,6,2,8,23,15,8,23,1,30,"3,600",14,15,20,26,0.769
2,02/20/2016,Lehigh,L 7 - 15,7,6,13,30,22,17,25,6,300,"3,600",15,5,11,11,1.000/
3,03/05/2016,@ Mt. St. Mary's,L 8 - 10,8,5,13,31,19,12,20,4,150,"3,600",10,11,9,10,0.900
4,03/08/2016,Penn St.,L 7 - 16,7,4,11,26,17,11,25,3,120,"3,600",16,6,12,15,0.800
5,03/12/2016,@ Air Force,L 4 - 14,4,3,7,29,16,12,21,3,150,"3,600",14,6,12,14,0.857
6,03/19/2016,@ Towson,L 6 - 15,6,4,10,17,9,8,24,3,120,"3,600",15,11,13,15,0.867
7,03/26/2016,@ VMI,W 18 - 5,18,13,31,42,29,18,27,2,90,"3,600",5,11,16,19,0.842
8,04/02/2016,Jacksonville,W 13 - 7,13,7,20,40,26,12,24,1,30,"3,600",7,8,17,18,0.944
9,04/09/2016,Richmond,L 5 - 6 (3OT),5,3,8,37,18,9,17,2,90,"4,215",6,9,21,23,0.913
10,04/16/2016,@ Mercer,L 10 - 12,10,5,15,18,14,7,24,4,180,"3,600",12,11,17,18,0.944
11,04/23/2016,High Point,L 5 - 10,5,4,9,36,20,7,19,1,60,"3,600",10,12,16,18,0.889
12,04/30/2016,@ Bellarmine,L 8 - 15,8,4,12,28,13,7,27,1,60,"3,600",15,6,13,14,0.929
