,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/12/2016,@ Providence,L 8 - 12,8,5,13,40,18,10,24,4,180,"3,600",12,12,24/,30/,0.800
1,02/20/2016,Vermont,L 8 - 14,8,1,9,34,25,15,24,9/,390/,"3,600",14,7,19,22,0.864
2,02/23/2016,@ Harvard,L 10 - 11 (2OT),10,4,14,34,17,20,8,16,26,"3,932",11,9,12,16,0.750
3,02/27/2016,@ Lehigh,L 11 - 12,11,3,14,27,17,10,26,5,270,"3,600",12,14,17,19,0.895
4,03/05/2016,Loyola Maryland,L 9 - 10,9,7,16,31,17,8,23,1,60,"3,600",10,15,13,14,0.929
5,03/08/2016,Brown,L 7 - 20,7,4,11,29,20,4,30,1,60,"3,600",20/,18,17,25,0.680
6,03/12/2016,Bucknell,L 12 - 18,12,8,20,38,24,12,32,4,210,"3,600",18,4,12,14,0.857
7,03/19/2016,@ Army West Point,L 7 - 16,7,2,9,27,17,5,27,4,150,"3,600",16,11,16,20,0.800
8,03/26/2016,Jacksonville,W 10 - 6,10,5,15,34,20,7,20,1,60,"3,600",6,10,17,21,0.810
9,03/29/2016,@ Hartford,L 8 - 10,8,3,11,33,18,3,21,4,210,"3,600",10,4,17,20,0.850
10,04/02/2016,@ Navy,L 3 - 12,3,2,5,31,12,4,19,3,150,"3,600",12,10,20,21,0.952
11,04/09/2016,Lafayette,W 11 - 6,11,7,18,43,17,13,21,9/,390/,"3,600",6,4,19,20,0.950
12,04/16/2016,@ Colgate,W 12 - 6,12,1,13,49,21,6,21,4,240,"3,600",6,10,17,17,1.000/
13,04/22/2016,Boston U.,W 11 - 7,11,7,18,41,23,6,21,4,210,"3,600",7,11,14,14,1.000/
14,04/26/2016,@ Bucknell,L 7 - 13,7,3,10,45,28,12,23,4,150,"3,600",13,4,13,15,0.867
